r	V(r)
0	-53.0319
0.1	-53.0273
0.2	-53.0221
0.3	-53.0161
0.4	-53.0092
0.5	-53.0014
0.6	-52.9925
0.7	-52.9823
0.8	-52.9706
0.9	-52.9573
1	-52.9421
1.1	-52.9247
1.2	-52.9049
1.3	-52.8823
1.4	-52.8564
1.5	-52.827
1.6	-52.7933
1.7	-52.7549
1.8	-52.7111
1.9	-52.6611
2	-52.6041
2.1	-52.5392
2.2	-52.4651
2.3	-52.3808
2.4	-52.2848
2.5	-52.1755
2.6	-52.0512
2.7	-51.9098
2.8	-51.7493
2.9	-51.567
3	-51.3604
3.1	-51.1262
3.2	-50.8613
3.3	-50.5619
3.4	-50.2241
3.5	-49.8437
3.6	-49.4159
3.7	-48.936
3.8	-48.399
3.9	-47.7996
4	-47.1327
4.1	-46.393
4.2	-45.5758
4.3	-44.6766
4.4	-43.6916
4.5	-42.6179
4.6	-41.454
4.7	-40.1995
4.8	-38.8559
4.9	-37.4265
5	-35.9169
5.1	-34.3344
5.2	-32.6887
5.3	-30.9914
5.4	-29.2557
5.5	-27.4961
5.6	-25.728
5.7	-23.967
5.8	-22.2285
5.9	-20.5271
6	-18.8763
6.1	-17.2877
6.2	-15.7711
6.3	-14.3342
6.4	-12.9827
6.5	-11.72
6.6	-10.5479
6.7	-9.46608
6.8	-8.47314
6.9	-7.56628
7	-6.7418
7.1	-5.99533
7.2	-5.32201
7.3	-4.71673
7.4	-4.17427
7.5	-3.68944
7.6	-3.25717
7.7	-2.8726
7.8	-2.53112
7.9	-2.22844
8	-1.96055
8.1	-1.72377
8.2	-1.51474
8.3	-1.3304
8.4	-1.16799
8.5	-1.02501
8.6	-0.899226
8.7	-0.788647
8.8	-0.691486
8.9	-0.606156
9	-0.531249
9.1	-0.465517
9.2	-0.407854
9.3	-0.357286
9.4	-0.31295
9.5	-0.274088
9.6	-0.240029
9.7	-0.210186
9.8	-0.18404
9.9	-0.161136
10	-0.141076
10.1	-0.123507
10.2	-0.108121
10.3	-0.0946489
10.4	-0.0828526
10.5	-0.0725245
10.6	-0.0634824
10.7	-0.0555664
10.8	-0.0486366
10.9	-0.0425703
11	-0.0372601
11.1	-0.0326119
11.2	-0.0285433
11.3	-0.024982
11.4	-0.0218649
11.5	-0.0191365
11.6	-0.0167485
11.7	-0.0146584
11.8	-0.0128291
11.9	-0.011228
12	-0.00982674
12.1	-0.0086003
12.2	-0.00752691
12.3	-0.00658747
12.4	-0.00576526
12.5	-0.00504567
12.6	-0.00441589
12.7	-0.00386471
12.8	-0.00338232
12.9	-0.00296014
13	-0.00259065
13.1	-0.00226729
13.2	-0.00198428
13.3	-0.0017366
13.4	-0.00151983
13.5	-0.00133012
13.6	-0.00116409
13.7	-0.00101878
13.8	-0.000891612
13.9	-0.000780317
14	-0.000682914
14.1	-0.000597669
14.2	-0.000523065
14.3	-0.000457773
14.4	-0.000400631
14.5	-0.000350622
14.6	-0.000306855
14.7	-0.000268552
14.8	-0.000235029
14.9	-0.000205692
15	-0.000180016
15.1	-0.000157545
15.2	-0.000137879
15.3	-0.000120668
15.4	-0.000105606
15.5	-9.24234e-05
15.6	-8.08865e-05
15.7	-7.07897e-05
15.8	-6.19533e-05
15.9	-5.42198e-05
16	-4.74518e-05
16.1	-4.15285e-05
16.2	-3.63447e-05
16.3	-3.18079e-05
16.4	-2.78374e-05
16.5	-2.43626e-05
16.6	-2.13215e-05
16.7	-1.866e-05
16.8	-1.63307e-05
16.9	-1.42922e-05
17	-1.25082e-05
17.1	-1.09468e-05
17.2	-9.58035e-06
17.3	-8.38447e-06
17.4	-7.33786e-06
17.5	-6.4219e-06
17.6	-5.62028e-06
17.7	-4.91872e-06
17.8	-4.30473e-06
17.9	-3.76739e-06
18	-3.29712e-06
18.1	-2.88555e-06
18.2	-2.52535e-06
18.3	-2.21012e-06
18.4	-1.93424e-06
18.5	-1.6928e-06
18.6	-1.48149e-06
18.7	-1.29656e-06
18.8	-1.13471e-06
18.9	-9.93072e-07
19	-8.6911e-07
19.1	-7.60622e-07
19.2	-6.65676e-07
19.3	-5.82582e-07
19.4	-5.0986e-07
19.5	-4.46216e-07
19.6	-3.90516e-07
19.7	-3.4177e-07
19.8	-2.99108e-07
19.9	-2.61771e-07
