theta	dsigma
0	8480.89
0.0174533	8418.99
0.0349066	8242.36
0.0523599	7976.14
0.0698132	7655.9
0.0872665	7319.71
0.10472	7000.02
0.122173	6717.01
0.139626	6475.19
0.15708	6263.69
0.174533	6060.02
0.191986	5836.25
0.20944	5566.08
0.226893	5230.93
0.244346	4824.02
0.261799	4351.53
0.279253	3830.98
0.296706	3287.5
0.314159	2748.97
0.331613	2241.32
0.349066	1784.79
0.366519	1391.92
0.383972	1067.2
0.401426	808.198
0.418879	607.61
0.436332	455.572
0.453786	341.764
0.471239	256.89
0.488692	193.471
0.506145	145.992
0.523599	110.623
0.541052	84.7326
0.558505	66.4088
0.575959	54.1088
0.593412	46.4761
0.610865	42.3028
0.628319	40.5748
0.645772	40.5317
0.663225	41.6957
0.680678	43.8478
0.698132	46.9583
0.715585	51.0909
0.733038	56.308
0.750492	62.595
0.767945	69.8153
0.785398	77.6977
0.802851	85.8502
0.820305	93.7954
0.837758	101.019
0.855211	107.028
0.872665	111.41
0.890118	113.897
0.907571	114.412
0.925025	113.105
0.942478	110.363
0.959931	106.787
0.977384	103.144
0.994838	100.283
1.01229	99.0435
1.02974	100.157
1.0472	104.159
1.06465	111.321
1.0821	121.625
1.09956	134.757
1.11701	150.148
1.13446	167.029
1.15192	184.505
1.16937	201.631
1.18682	217.488
1.20428	231.245
1.22173	242.199
1.23918	249.81
1.25664	253.717
1.27409	253.738
1.29154	249.872
1.309	242.287
1.32645	231.311
1.3439	217.417
1.36136	201.213
1.37881	183.419
1.39626	164.846
1.41372	146.365
1.43117	128.875
1.44862	113.259
1.46608	100.336
1.48353	90.8184
1.50098	85.2605
1.51844	84.0188
1.53589	87.2188
1.55334	94.7347
1.5708	106.184
1.58825	120.94
1.6057	138.157
1.62316	156.818
1.64061	175.79
1.65806	193.894
1.67552	209.971
1.69297	222.965
1.71042	231.982
1.72788	236.355
1.74533	235.688
1.76278	229.884
1.78024	219.157
1.79769	204.019
1.81514	185.259
1.8326	163.889
1.85005	141.09
1.8675	118.139
1.88496	96.333
1.90241	76.9118
1.91986	60.9803
1.93732	49.4426
1.95477	42.9467
1.97222	41.8433
1.98968	46.1636
2.00713	55.615
2.02458	69.5965
2.04204	87.2332
2.05949	107.426
2.07694	128.916
2.0944	150.358
2.11185	170.403
2.1293	187.774
2.14675	201.349
2.16421	210.226
2.18166	213.783
2.19911	211.715
2.21657	204.062
2.23402	191.206
2.25147	173.856
2.26893	153.011
2.28638	129.902
2.30383	105.926
2.32129	82.5594
2.33874	61.2731
2.35619	43.4436
2.37365	30.2665
2.3911	22.6805
2.40855	21.3044
2.42601	26.3916
2.44346	37.8053
2.46091	55.0171
2.47837	77.1279
2.49582	102.912
2.51327	130.882
2.53073	159.371
2.54818	186.631
2.56563	210.933
2.58309	230.676
2.60054	244.491
2.61799	251.334
2.63545	250.563
2.6529	242
2.67035	225.963
2.68781	203.275
2.70526	175.246
2.72271	143.621
2.74017	110.511
2.75762	78.2955
2.77507	49.506
2.79253	26.6994
2.80998	12.324
2.82743	8.58538
2.84489	17.3206
2.86234	39.8861
2.87979	77.066
2.89725	129.006
2.9147	195.178
2.93215	274.374
2.94961	364.738
2.96706	463.823
2.98451	568.687
3.00197	676.006
3.01942	782.215
3.03687	883.657
3.05433	976.744
3.07178	1058.11
3.08923	1124.78
3.10669	1174.27
3.12414	1204.73
3.14159	1215.01
