E	sigma
0.01	4231.62
0.02	4297.42
0.03	4402.2
0.04	4534.39
0.05	4685.55
0.06	4849.41
0.07	5021.34
0.08	5197.82
0.09	5376.23
0.1	5554.56
0.11	5731.3
0.12	5905.32
0.13	6075.77
0.14	6242.03
0.15	6403.62
0.16	6560.24
0.17	6711.66
0.18	6857.76
0.19	6998.47
0.2	7133.77
0.21	7263.69
0.22	7388.29
0.23	7507.67
0.24	7621.95
0.25	7731.27
0.26	7835.83
0.27	7935.84
0.28	8031.63
0.29	8123.65
0.3	8212.61
0.31	8299.81
0.32	8387.85
0.33	8482.81
0.34	8601.79
0.35	8808.27
0.36	9496.57
0.37	21725.8
0.38	12929.4
0.39	9653.58
0.4	9238
0.41	9130.58
0.42	9102.71
0.43	9103.57
0.44	9116.53
0.45	9134.83
0.46	9155.28
0.47	9176.25
0.48	9196.83
0.49	9216.51
0.5	9234.97
0.51	9252.04
0.52	9267.61
0.53	9281.63
0.54	9294.09
0.55	9304.98
0.56	9314.31
0.57	9322.11
0.58	9328.41
0.59	9333.24
0.6	9336.64
0.61	9338.64
0.62	9339.3
0.63	9338.64
0.64	9336.71
0.65	9333.55
0.66	9329.19
0.67	9323.69
0.68	9317.07
0.69	9309.37
0.7	9300.63
0.71	9290.88
0.72	9280.17
0.73	9268.51
0.74	9255.96
0.75	9242.53
0.76	9228.25
0.77	9213.17
0.78	9197.31
0.79	9180.69
0.8	9163.34
0.81	9145.29
0.82	9126.57
0.83	9107.2
0.84	9087.21
0.85	9066.61
0.86	9045.43
0.87	9023.7
0.88	9001.43
0.89	8978.64
0.9	8955.36
0.91	8931.61
0.92	8907.39
0.93	8882.74
0.94	8857.66
0.95	8832.19
0.96	8806.32
0.97	8780.08
0.98	8753.49
0.99	8726.56
1	8699.29
1.01	8671.72
1.02	8643.85
1.03	8615.69
1.04	8587.27
1.05	8558.58
1.06	8529.64
1.07	8500.47
1.08	8471.08
1.09	8441.47
1.1	8411.66
1.11	8381.65
1.12	8351.47
1.13	8321.11
1.14	8290.59
1.15	8259.92
1.16	8229.1
1.17	8198.14
1.18	8167.06
1.19	8135.86
1.2	8104.55
1.21	8073.13
1.22	8041.62
1.23	8010.02
1.24	7978.34
1.25	7946.58
1.26	7914.75
1.27	7882.86
1.28	7850.92
1.29	7818.93
1.3	7786.89
1.31	7754.81
1.32	7722.7
1.33	7690.56
1.34	7658.4
1.35	7626.23
1.36	7594.04
1.37	7561.84
1.38	7529.64
1.39	7497.44
1.4	7465.25
1.41	7433.06
1.42	7400.89
1.43	7368.74
1.44	7336.61
1.45	7304.51
1.46	7272.43
1.47	7240.39
1.48	7208.39
1.49	7176.42
1.5	7144.49
1.51	7112.61
1.52	7080.78
1.53	7049.01
1.54	7017.28
1.55	6985.61
1.56	6954.01
1.57	6922.46
1.58	6890.98
1.59	6859.57
1.6	6828.22
1.61	6796.95
1.62	6765.75
1.63	6734.63
1.64	6703.59
1.65	6672.62
1.66	6641.74
1.67	6610.94
1.68	6580.23
1.69	6549.61
1.7	6519.07
1.71	6488.63
1.72	6458.28
1.73	6428.02
1.74	6397.86
1.75	6367.8
1.76	6337.83
1.77	6307.96
1.78	6278.2
1.79	6248.53
1.8	6218.97
1.81	6189.52
1.82	6160.17
1.83	6130.93
1.84	6101.79
1.85	6072.77
1.86	6043.85
1.87	6015.05
1.88	5986.35
1.89	5957.77
1.9	5929.3
1.91	5900.95
1.92	5872.71
1.93	5844.59
1.94	5816.59
1.95	5788.7
1.96	5760.93
1.97	5733.27
1.98	5705.74
1.99	5678.33
2	5651.03
2.01	5623.86
2.02	5596.81
2.03	5569.88
2.04	5543.07
2.05	5516.39
2.06	5489.82
2.07	5463.38
2.08	5437.07
2.09	5410.88
2.1	5384.81
2.11	5358.87
2.12	5333.05
2.13	5307.36
2.14	5281.79
2.15	5256.35
2.16	5231.04
2.17	5205.85
2.18	5180.79
2.19	5155.85
2.2	5131.04
2.21	5106.36
2.22	5081.8
2.23	5057.38
2.24	5033.08
2.25	5008.9
2.26	4984.86
2.27	4960.94
2.28	4937.14
2.29	4913.48
2.3	4889.94
2.31	4866.54
2.32	4843.25
2.33	4820.1
2.34	4797.07
2.35	4774.17
2.36	4751.4
2.37	4728.76
2.38	4706.24
2.39	4683.85
