r	V(r)
0	-49.6607
0.1	-49.6267
0.2	-49.588
0.3	-49.5438
0.4	-49.4934
0.5	-49.436
0.6	-49.3705
0.7	-49.2959
0.8	-49.2109
0.9	-49.1141
1	-49.0041
1.1	-48.8789
1.2	-48.7366
1.3	-48.5751
1.4	-48.3919
1.5	-48.1842
1.6	-47.949
1.7	-47.6831
1.8	-47.3828
1.9	-47.0444
2	-46.6635
2.1	-46.2357
2.2	-45.7565
2.3	-45.2209
2.4	-44.6241
2.5	-43.9612
2.6	-43.2274
2.7	-42.4183
2.8	-41.5302
2.9	-40.5599
3	-39.5052
3.1	-38.3653
3.2	-37.1408
3.3	-35.8339
3.4	-34.4488
3.5	-32.9918
3.6	-31.4708
3.7	-29.896
3.8	-28.279
3.9	-26.6331
4	-24.9724
4.1	-23.3114
4.2	-21.6649
4.3	-20.047
4.4	-18.4709
4.5	-16.9483
4.6	-15.4894
4.7	-14.1023
4.8	-12.7933
4.9	-11.5665
5	-10.4243
5.1	-9.36737
5.2	-8.39479
5.3	-7.50449
5.4	-6.69338
5.5	-5.95762
5.6	-5.29283
5.7	-4.6943
5.8	-4.15714
5.9	-3.67645
6	-3.2474
6.1	-2.86531
6.2	-2.52575
6.3	-2.22452
6.4	-1.95774
6.5	-1.72179
6.6	-1.51338
6.7	-1.32951
6.8	-1.16743
6.9	-1.0247
7	-0.899092
7.1	-0.788635
7.2	-0.691557
7.3	-0.606281
7.4	-0.531407
7.5	-0.465692
7.6	-0.408037
7.7	-0.357468
7.8	-0.313126
7.9	-0.274255
8	-0.240185
8.1	-0.21033
8.2	-0.184172
8.3	-0.161257
8.4	-0.141185
8.5	-0.123605
8.6	-0.108209
8.7	-0.0947272
8.8	-0.0829224
8.9	-0.0725865
9	-0.0635373
9.1	-0.055615
9.2	-0.0486795
9.3	-0.0426082
9.4	-0.0372935
9.5	-0.0326414
9.6	-0.0285692
9.7	-0.0250048
9.8	-0.0218849
9.9	-0.0191541
10	-0.016764
10.1	-0.014672
10.2	-0.012841
10.3	-0.0112385
10.4	-0.00983589
10.5	-0.00860832
10.6	-0.00753393
10.7	-0.00659362
10.8	-0.00577065
10.9	-0.0050504
11	-0.00442003
11.1	-0.00386833
11.2	-0.00338549
11.3	-0.00296292
11.4	-0.00259309
11.5	-0.00226942
11.6	-0.00198614
11.7	-0.00173823
11.8	-0.00152126
11.9	-0.00133137
12	-0.00116518
12.1	-0.00101974
12.2	-0.000892451
12.3	-0.000781051
12.4	-0.000683557
12.5	-0.000598232
12.6	-0.000523557
12.7	-0.000458204
12.8	-0.000401008
12.9	-0.000350952
13	-0.000307144
13.1	-0.000268805
13.2	-0.000235251
13.3	-0.000205885
13.4	-0.000180185
13.5	-0.000157694
13.6	-0.000138009
13.7	-0.000120782
13.8	-0.000105705
13.9	-9.25104e-05
14	-8.09627e-05
14.1	-7.08564e-05
14.2	-6.20116e-05
14.3	-5.42709e-05
14.4	-4.74965e-05
14.5	-4.15677e-05
14.6	-3.63789e-05
14.7	-3.18379e-05
14.8	-2.78636e-05
14.9	-2.43855e-05
15	-2.13416e-05
15.1	-1.86776e-05
15.2	-1.63461e-05
15.3	-1.43057e-05
15.4	-1.25199e-05
15.5	-1.09571e-05
15.6	-9.58938e-06
15.7	-8.39237e-06
15.8	-7.34478e-06
15.9	-6.42795e-06
16	-5.62557e-06
16.1	-4.92335e-06
16.2	-4.30879e-06
16.3	-3.77094e-06
16.4	-3.30022e-06
16.5	-2.88827e-06
16.6	-2.52773e-06
16.7	-2.21221e-06
16.8	-1.93606e-06
16.9	-1.69439e-06
17	-1.48289e-06
17.1	-1.29778e-06
17.2	-1.13578e-06
17.3	-9.94008e-07
17.4	-8.69929e-07
17.5	-7.61339e-07
17.6	-6.66303e-07
17.7	-5.83131e-07
17.8	-5.10341e-07
17.9	-4.46637e-07
18	-3.90884e-07
18.1	-3.42092e-07
18.2	-2.99389e-07
18.3	-2.62018e-07
18.4	-2.29311e-07
18.5	-2.00687e-07
18.6	-1.75636e-07
18.7	-1.53712e-07
18.8	-1.34524e-07
18.9	-1.17732e-07
19	-1.03036e-07
19.1	-9.01744e-08
19.2	-7.89182e-08
19.3	-6.90671e-08
19.4	-6.04457e-08
19.5	-5.29004e-08
19.6	-4.62971e-08
19.7	-4.0518e-08
19.8	-3.54602e-08
19.9	-3.10338e-08
