theta	dsigma
0	5940.32
0.0174533	5828.68
0.0349066	5507.51
0.0523599	5015.66
0.0698132	4410.16
0.0872665	3756.39
0.10472	3117.41
0.122173	2544.49
0.139626	2070.75
0.15708	1708.72
0.174533	1452
0.191986	1280.13
0.20944	1165.27
0.226893	1079.03
0.244346	998.056
0.261799	907.452
0.279253	801.632
0.296706	683.029
0.314159	559.336
0.331613	440.237
0.349066	334.484
0.366519	247.922
0.383972	182.69
0.401426	137.518
0.418879	108.768
0.436332	91.7744
0.453786	82.0833
0.471239	76.3095
0.488692	72.4966
0.506145	70.0306
0.523599	69.2517
0.541052	70.9484
0.558505	75.8937
0.575959	84.5251
0.593412	96.8023
0.610865	112.218
0.628319	129.91
0.645772	148.811
0.663225	167.803
0.680678	185.828
0.698132	201.977
0.715585	215.548
0.733038	226.085
0.750492	233.397
0.767945	237.574
0.785398	238.961
0.802851	238.12
0.820305	235.757
0.837758	232.622
0.855211	229.417
0.872665	226.697
0.890118	224.808
0.907571	223.864
0.925025	223.756
0.942478	224.202
0.959931	224.822
0.977384	225.214
0.994838	225.029
1.01229	224.025
1.02974	222.092
1.0472	219.257
1.06465	215.662
1.0821	211.523
1.09956	207.094
1.11701	202.616
1.13446	198.284
1.15192	194.223
1.16937	190.474
1.18682	186.997
1.20428	183.681
1.22173	180.365
1.23918	176.862
1.25664	172.988
1.27409	168.585
1.29154	163.545
1.309	157.819
1.32645	151.434
1.3439	144.483
1.36136	137.125
1.37881	129.569
1.39626	122.056
1.41372	114.838
1.43117	108.162
1.44862	102.245
1.46608	97.2681
1.48353	93.3576
1.50098	90.5851
1.51844	88.9645
1.53589	88.4563
1.55334	88.974
1.5708	90.393
1.58825	92.5602
1.6057	95.304
1.62316	98.4436
1.64061	101.796
1.65806	105.183
1.67552	108.437
1.69297	111.401
1.71042	113.934
1.72788	115.912
1.74533	117.229
1.76278	117.797
1.78024	117.547
1.79769	116.434
1.81514	114.431
1.8326	111.536
1.85005	107.772
1.8675	103.186
1.88496	97.8503
1.90241	91.8622
1.91986	85.3424
1.93732	78.4329
1.95477	71.294
1.97222	64.1001
1.98968	57.035
2.00713	50.286
2.02458	44.0384
2.04204	38.469
2.05949	33.7397
2.07694	29.9919
2.0944	27.3406
2.11185	25.87
2.1293	25.6295
2.14675	26.6311
2.16421	28.8482
2.18166	32.2149
2.19911	36.6277
2.21657	41.948
2.23402	48.0053
2.25147	54.6025
2.26893	61.5219
2.28638	68.5309
2.30383	75.3903
2.32129	81.8608
2.33874	87.7113
2.35619	92.7263
2.37365	96.7128
2.3911	99.5073
2.40855	100.982
2.42601	101.048
2.44346	99.6626
2.46091	96.8286
2.47837	92.5976
2.49582	87.0694
2.51327	80.3911
2.53073	72.754
2.54818	64.3902
2.56563	55.5669
2.58309	46.5803
2.60054	37.7485
2.61799	29.4034
2.63545	21.8819
2.6529	15.5173
2.67035	10.6302
2.68781	7.51912
2.70526	6.45237
2.72271	7.65971
2.74017	11.3253
2.75762	17.5812
2.77507	26.5029
2.79253	38.1048
2.80998	52.3389
2.82743	69.0933
2.84489	88.1937
2.86234	109.406
2.87979	132.438
2.89725	156.95
2.9147	182.557
2.93215	208.836
2.94961	235.342
2.96706	261.608
2.98451	287.163
3.00197	311.539
3.01942	334.283
3.03687	354.967
3.05433	373.195
3.07178	388.618
3.08923	400.937
3.10669	409.913
3.12414	415.369
3.14159	417.2
