E	sigma
0.01	325.664
0.02	306.867
0.03	290.147
0.04	275.36
0.05	262.374
0.06	251.069
0.07	241.334
0.08	233.063
0.09	226.163
0.1	220.544
0.11	216.124
0.12	212.827
0.13	210.581
0.14	209.322
0.15	208.986
0.16	209.517
0.17	210.861
0.18	212.968
0.19	215.792
0.2	219.287
0.21	223.414
0.22	228.134
0.23	233.411
0.24	239.21
0.25	245.501
0.26	252.253
0.27	259.438
0.28	267.03
0.29	275.005
0.3	283.337
0.31	292.006
0.32	300.992
0.33	310.273
0.34	319.832
0.35	329.652
0.36	339.715
0.37	350.008
0.38	360.514
0.39	371.22
0.4	382.114
0.41	393.183
0.42	404.415
0.43	415.799
0.44	427.325
0.45	438.984
0.46	450.765
0.47	462.661
0.48	474.664
0.49	486.764
0.5	498.956
0.51	511.232
0.52	523.586
0.53	536.012
0.54	548.503
0.55	561.056
0.56	573.663
0.57	586.321
0.58	599.026
0.59	611.772
0.6	624.556
0.61	637.375
0.62	650.225
0.63	663.102
0.64	676.004
0.65	688.927
0.66	701.87
0.67	714.83
0.68	727.804
0.69	740.791
0.7	753.788
0.71	766.795
0.72	779.809
0.73	792.828
0.74	805.852
0.75	818.88
0.76	831.91
0.77	844.941
0.78	857.974
0.79	871.006
0.8	884.037
0.81	897.068
0.82	910.097
0.83	923.124
0.84	936.149
0.85	949.172
0.86	962.193
0.87	975.211
0.88	988.228
0.89	1001.24
0.9	1014.26
0.91	1027.27
0.92	1040.28
0.93	1053.29
0.94	1066.3
0.95	1079.31
0.96	1092.32
0.97	1105.34
0.98	1118.36
0.99	1131.38
1	1144.4
1.01	1157.43
1.02	1170.46
1.03	1183.5
1.04	1196.55
1.05	1209.61
1.06	1222.68
1.07	1235.75
1.08	1248.84
1.09	1261.94
1.1	1275.05
1.11	1288.18
1.12	1301.33
1.13	1314.49
1.14	1327.67
1.15	1340.86
1.16	1354.08
1.17	1367.32
1.18	1380.58
1.19	1393.87
1.2	1407.18
1.21	1420.52
1.22	1433.88
1.23	1447.27
1.24	1460.69
1.25	1474.15
1.26	1487.63
1.27	1501.15
1.28	1514.7
1.29	1528.29
1.3	1541.91
1.31	1555.57
1.32	1569.27
1.33	1583.01
1.34	1596.79
1.35	1610.61
1.36	1624.47
1.37	1638.38
1.38	1652.34
1.39	1666.34
1.4	1680.38
1.41	1694.47
1.42	1708.62
1.43	1722.81
