theta	dsigma
0	3433.06
0.0174533	3430.28
0.0349066	3421.95
0.0523599	3408.11
0.0698132	3388.8
0.0872665	3364.1
0.10472	3334.11
0.122173	3298.94
0.139626	3258.73
0.15708	3213.62
0.174533	3163.8
0.191986	3109.44
0.20944	3050.76
0.226893	2987.97
0.244346	2921.31
0.261799	2851.03
0.279253	2777.37
0.296706	2700.62
0.314159	2621.06
0.331613	2538.96
0.349066	2454.62
0.366519	2368.35
0.383972	2280.44
0.401426	2191.19
0.418879	2100.92
0.436332	2009.92
0.453786	1918.51
0.471239	1826.98
0.488692	1735.63
0.506145	1644.75
0.523599	1554.62
0.541052	1465.52
0.558505	1377.73
0.575959	1291.48
0.593412	1207.04
0.610865	1124.64
0.628319	1044.49
0.645772	966.816
0.663225	891.799
0.680678	819.622
0.698132	750.45
0.715585	684.43
0.733038	621.696
0.750492	562.364
0.767945	506.531
0.785398	454.28
0.802851	405.678
0.820305	360.772
0.837758	319.595
0.855211	282.161
0.872665	248.469
0.890118	218.503
0.907571	192.23
0.925025	169.602
0.942478	150.555
0.959931	135.013
0.977384	122.885
0.994838	114.067
1.01229	108.445
1.02974	105.89
1.0472	106.265
1.06465	109.421
1.0821	115.203
1.09956	123.445
1.11701	133.974
1.13446	146.613
1.15192	161.178
1.16937	177.481
1.18682	195.33
1.20428	214.53
1.22173	234.888
1.23918	256.207
1.25664	278.291
1.27409	300.947
1.29154	323.983
1.309	347.212
1.32645	370.448
1.3439	393.512
1.36136	416.233
1.37881	438.443
1.39626	459.983
1.41372	480.703
1.43117	500.46
1.44862	519.122
1.46608	536.567
1.48353	552.682
1.50098	567.367
1.51844	580.533
1.53589	592.102
1.55334	602.009
1.5708	610.2
1.58825	616.636
1.6057	621.289
1.62316	624.142
1.64061	625.196
1.65806	624.458
1.67552	621.953
1.69297	617.715
1.71042	611.791
1.72788	604.24
1.74533	595.132
1.76278	584.548
1.78024	572.579
1.79769	559.326
1.81514	544.9
1.8326	529.419
1.85005	513.009
1.8675	495.806
1.88496	477.949
1.90241	459.584
1.91986	440.862
1.93732	421.937
1.95477	402.967
1.97222	384.111
1.98968	365.532
2.00713	347.39
2.02458	329.847
2.04204	313.061
2.05949	297.19
2.07694	282.387
2.0944	268.804
2.11185	256.584
2.1293	245.866
2.14675	236.784
2.16421	229.462
2.18166	224.018
2.19911	220.559
2.21657	219.185
2.23402	219.985
2.25147	223.038
2.26893	228.411
2.28638	236.16
2.30383	246.329
2.32129	258.95
2.33874	274.044
2.35619	291.617
2.37365	311.663
2.3911	334.165
2.40855	359.091
2.42601	386.397
2.44346	416.028
2.46091	447.914
2.47837	481.974
2.49582	518.116
2.51327	556.236
2.53073	596.218
2.54818	637.938
2.56563	681.26
2.58309	726.039
2.60054	772.122
2.61799	819.348
2.63545	867.548
2.6529	916.547
2.67035	966.165
2.68781	1016.22
2.70526	1066.51
2.72271	1116.86
2.74017	1167.07
2.75762	1216.93
2.77507	1266.27
2.79253	1314.87
2.80998	1362.55
2.82743	1409.12
2.84489	1454.39
2.86234	1498.17
2.87979	1540.29
2.89725	1580.57
2.9147	1618.85
2.93215	1654.98
2.94961	1688.8
2.96706	1720.17
2.98451	1748.96
3.00197	1775.05
3.01942	1798.34
3.03687	1818.72
3.05433	1836.12
3.07178	1850.45
3.08923	1861.66
3.10669	1869.7
3.12414	1874.54
3.14159	1876.16
