r	V(r)
0	-38.4872
0.1	-38.4732
0.2	-38.4573
0.3	-38.439
0.4	-38.4182
0.5	-38.3944
0.6	-38.3673
0.7	-38.3363
0.8	-38.301
0.9	-38.2607
1	-38.2148
1.1	-38.1625
1.2	-38.1029
1.3	-38.035
1.4	-37.9577
1.5	-37.8698
1.6	-37.7698
1.7	-37.6563
1.8	-37.5273
1.9	-37.3811
2	-37.2154
2.1	-37.0278
2.2	-36.8158
2.3	-36.5765
2.4	-36.3069
2.5	-36.0036
2.6	-35.6632
2.7	-35.2821
2.8	-34.8564
2.9	-34.3824
3	-33.8564
3.1	-33.2747
3.2	-32.634
3.3	-31.9315
3.4	-31.1649
3.5	-30.3329
3.6	-29.4349
3.7	-28.4719
3.8	-27.4458
3.9	-26.3603
4	-25.2206
4.1	-24.0333
4.2	-22.8064
4.3	-21.5495
4.4	-20.2728
4.5	-18.9875
4.6	-17.7049
4.7	-16.4363
4.8	-15.1924
4.9	-13.9832
5	-12.8176
5.1	-11.7029
5.2	-10.6451
5.3	-9.64853
5.4	-8.7162
5.5	-7.84952
5.6	-7.04868
5.7	-6.31277
5.8	-5.63995
5.9	-5.02766
6	-4.47283
6.1	-3.97197
6.2	-3.52141
6.3	-3.11736
6.4	-2.75602
6.5	-2.4337
6.6	-2.14681
6.7	-1.89197
6.8	-1.666
6.9	-1.46594
7	-1.28906
7.1	-1.13288
7.2	-0.995111
7.3	-0.873708
7.4	-0.766813
7.5	-0.672763
7.6	-0.590069
7.7	-0.5174
7.8	-0.453574
7.9	-0.397539
8	-0.348364
8.1	-0.305222
8.2	-0.267387
8.3	-0.234212
8.4	-0.205132
8.5	-0.179645
8.6	-0.157312
8.7	-0.137745
8.8	-0.120605
8.9	-0.105591
9	-0.0924422
9.1	-0.0809272
9.2	-0.0708439
9.3	-0.0620149
9.4	-0.0542847
9.5	-0.0475168
9.6	-0.0415918
9.7	-0.036405
9.8	-0.0318644
9.9	-0.0278898
10	-0.0244106
10.1	-0.0213652
10.2	-0.0186995
10.3	-0.0163663
10.4	-0.0143241
10.5	-0.0125367
10.6	-0.0109722
10.7	-0.00960292
10.8	-0.00840448
10.9	-0.00735558
11	-0.00643756
11.1	-0.0056341
11.2	-0.0049309
11.3	-0.00431546
11.4	-0.00377683
11.5	-0.00330542
11.6	-0.00289285
11.7	-0.00253177
11.8	-0.00221575
11.9	-0.00193918
12	-0.00169713
12.1	-0.00148529
12.2	-0.00129989
12.3	-0.00113764
12.4	-0.000995633
12.5	-0.000871354
12.6	-0.000762588
12.7	-0.000667399
12.8	-0.000584091
12.9	-0.000511181
13	-0.000447373
13.1	-0.00039153
13.2	-0.000342657
13.3	-0.000299884
13.4	-0.000262451
13.5	-0.00022969
13.6	-0.000201019
13.7	-0.000175927
13.8	-0.000153966
13.9	-0.000134747
14	-0.000117927
14.1	-0.000103207
14.2	-9.03239e-05
14.3	-7.90491e-05
14.4	-6.91817e-05
14.5	-6.0546e-05
14.6	-5.29882e-05
14.7	-4.63739e-05
14.8	-4.05852e-05
14.9	-3.55191e-05
15	-3.10854e-05
15.1	-2.72051e-05
15.2	-2.38092e-05
15.3	-2.08371e-05
15.4	-1.82361e-05
15.5	-1.59598e-05
15.6	-1.39676e-05
15.7	-1.2224e-05
15.8	-1.06982e-05
15.9	-9.36274e-06
16	-8.19402e-06
16.1	-7.17119e-06
16.2	-6.27603e-06
16.3	-5.49262e-06
16.4	-4.80699e-06
16.5	-4.20695e-06
16.6	-3.68181e-06
16.7	-3.22222e-06
16.8	-2.82e-06
16.9	-2.46799e-06
17	-2.15992e-06
17.1	-1.8903e-06
17.2	-1.65434e-06
17.3	-1.44784e-06
17.4	-1.26711e-06
17.5	-1.10894e-06
17.6	-9.70515e-07
17.7	-8.49369e-07
17.8	-7.43345e-07
17.9	-6.50555e-07
18	-5.69349e-07
18.1	-4.98279e-07
18.2	-4.3608e-07
18.3	-3.81646e-07
18.4	-3.34006e-07
18.5	-2.92313e-07
18.6	-2.55825e-07
18.7	-2.23891e-07
18.8	-1.95944e-07
18.9	-1.71485e-07
19	-1.50079e-07
19.1	-1.31345e-07
19.2	-1.1495e-07
19.3	-1.00601e-07
19.4	-8.80431e-08
19.5	-7.7053e-08
19.6	-6.74347e-08
19.7	-5.90171e-08
19.8	-5.16502e-08
19.9	-4.52028e-08
