E	sigma
0.01	18797
0.02	18183.5
0.03	17599.6
0.04	17043.3
0.05	16512.7
0.06	16006.2
0.07	15522.4
0.08	15059.7
0.09	14617
0.1	14193
0.11	13786.7
0.12	13397.1
0.13	13023.2
0.14	12664.3
0.15	12319.6
0.16	11988.2
0.17	11669.7
0.18	11363.3
0.19	11068.5
0.2	10784.8
0.21	10511.7
0.22	10248.8
0.23	9995.71
0.24	9752.1
0.25	9517.67
0.26	9292.15
0.27	9075.32
0.28	8867.02
0.29	8667.11
0.3	8475.53
0.31	8292.24
0.32	8117.27
0.33	7950.74
0.34	7792.82
0.35	7643.76
0.36	7503.93
0.37	7373.78
0.38	7253.93
0.39	7145.13
0.4	7048.32
0.41	6964.67
0.42	6895.59
0.43	6842.82
0.44	6808.5
0.45	6795.19
0.46	6806.04
0.47	6844.87
0.48	6916.29
0.49	7025.91
0.5	7180.5
0.51	7388.19
0.52	7658.68
0.53	8003.44
0.54	8435.78
0.55	8970.74
0.56	9624.7
0.57	10414.3
0.58	11354.3
0.59	12454.8
0.6	13715.5
0.61	15120.2
0.62	16629.4
0.63	18175.9
0.64	19666
0.65	20989.4
0.66	22039.2
0.67	22735.4
0.68	23042.5
0.69	22974.3
0.7	22584.5
0.71	21948.7
0.72	21146.5
0.73	20249
0.74	19312.9
0.75	18379
0.76	17474.7
0.77	16616.4
0.78	15812.6
0.79	15066.5
0.8	14377.9
0.81	13744.7
0.82	13163.2
0.83	12629.7
0.84	12140.1
0.85	11690.3
0.86	11276.5
0.87	10895.4
0.88	10543.6
0.89	10218.3
0.9	9916.9
0.91	9637.14
0.92	9376.91
0.93	9134.39
0.94	8907.94
0.95	8696.09
0.96	8497.55
0.97	8311.16
0.98	8135.87
0.99	7970.77
1	7815.01
1.01	7667.86
1.02	7528.64
1.03	7396.74
1.04	7271.62
1.05	7152.79
1.06	7039.78
1.07	6932.21
1.08	6829.69
1.09	6731.88
1.1	6638.49
1.11	6549.23
1.12	6463.83
1.13	6382.07
1.14	6303.72
1.15	6228.59
1.16	6156.49
1.17	6087.24
1.18	6020.7
1.19	5956.71
1.2	5895.14
1.21	5835.86
1.22	5778.76
1.23	5723.72
1.24	5670.65
1.25	5619.44
1.26	5570.02
1.27	5522.29
1.28	5476.18
1.29	5431.61
1.3	5388.53
1.31	5346.85
1.32	5306.53
1.33	5267.5
1.34	5229.71
1.35	5193.11
1.36	5157.65
1.37	5123.28
1.38	5089.97
1.39	5057.67
1.4	5026.34
1.41	4995.95
1.42	4966.46
1.43	4937.84
1.44	4910.06
1.45	4883.08
1.46	4856.88
1.47	4831.43
1.48	4806.7
1.49	4782.68
1.5	4759.33
1.51	4736.64
