angle dsdW
180 0.0061745
175.426 0.0094873
173.736 0.011943
171.553 0.015342
170.23 0.017223
168.525 0.019119
167.04 0.020079
165.503 0.020249
163.458 0.019104
161.635 0.016879
157.461 0.0093779
156.529 0.0076711
155.192 0.0054718
154.549 0.0045614
153.92 0.0037866
153.104 0.002969
152.506 0.0025169
152.066 0.0022664
151.417 0.002028
150.781 0.0019459
150.41 0.0019663
149.771 0.0021161
149.3 0.0023157
148.606 0.0027383
147.925 0.0032867
146.579 0.0046837
145.281 0.00629
142.803 0.0094189
141.617 0.010671
140.461 0.011598
139.333 0.012163
138.23 0.01236
137.151 0.012215
136.094 0.011776
134.038 0.010282
132.053 0.0084732
130.128 0.0069255
129.187 0.0063909
128.258 0.0060658
127.341 0.0059694
126.435 0.006107
125.54 0.0064701
124.655 0.0070387
122.913 0.0086636
121.206 0.010662
119.53 0.012666
117.882 0.014336
116.259 0.015416
114.659 0.015771
113.081 0.015408
111.521 0.014458
109.979 0.013161
108.453 0.011816
106.94 0.010747
105.441 0.010246
105.19 0.010236
104.696 0.010285
103.953 0.010544
103.213 0.011038
102.475 0.011773
101.006 0.013954
99.5455 0.016992
98.0917 0.020686
96.6438 0.024753
95.2008 0.028852
93.7618 0.032628
92.3258 0.035745
90.892 0.037918
89.4594 0.038952
88.0272 0.038755
86.5944 0.037361
85.1601 0.034926
83.7235 0.031722
82.2835 0.028123
80.8394 0.024576
79.39 0.021563
77.9344 0.019567
77.2039 0.019089
76.7178 0.018997
76.4715 0.019023
75.737 0.019409
75.0003 0.020278
74.2612 0.021651
73.5196 0.023541
72.0282 0.028856
70.5248 0.036064
69.008 0.044795
67.4763 0.054467
65.9282 0.064309
64.362 0.073414
62.7756 0.080804
61.1671 0.085536
59.534 0.086817
57.8739 0.084136
56.1838 0.07739
54.4605 0.066986
52.7001 0.053897
50.8983 0.039625
49.0501 0.026065
48.1068 0.020188
47.1495 0.015238
46.6654 0.013178
45.932 0.010668
45.5619 0.0096919
45.1895 0.0089099
44.6892 0.0081772
44.3111 0.0078642
43.8827 0.0077567
43.7392 0.0077785
43.1613 0.0081518
42.6425 0.0088627
41.8546 0.010574
41.0546 0.013015
39.9677 0.017297
38.8558 0.022617
37.7168 0.02889
36.548 0.036195
35.3463 0.044931
34.1084 0.056042
33.4745 0.063002
32.5033 0.076103
31.5058 0.093791
30.8249 0.10916
30.3052 0.12313
29.5103 0.149
28.6955 0.1823
27.9531 0.21979
27.3842 0.25387
26.51 0.31666
25.6083 0.39651
24.7812 0.48513
24.1437 0.5646
23.1565 0.70867
22.128 0.88837
21.1742 1.0841
20.4311 1.257
19.2654 1.5654
18.0276 1.9429
16.854 2.3473
14.9272 3.0998
12.7195 4.0664
11.0095 4.8548
7.77849 6.2988
0 8.1202
