angle dsdW
180 5.6264e-05
173.845 4.9648e-05
171.794 4.5547e-05
169.742 4.1358e-05
167.692 3.7557e-05
165.641 3.4491e-05
163.591 3.2349e-05
161.542 3.1147e-05
159.493 3.0741e-05
155.398 3.1077e-05
151.306 3.0459e-05
145.174 2.5773e-05
143.132 2.4619e-05
141.092 2.4807e-05
139.052 2.7113e-05
137.014 3.2259e-05
134.977 4.0823e-05
132.941 5.3117e-05
130.907 6.9062e-05
122.784 0.00015063
120.757 0.00016792
118.732 0.00018115
116.708 0.00018983
110.647 0.00019945
108.629 0.00020732
106.614 0.0002258
104.6 0.00026099
102.588 0.00031854
100.578 0.00040243
98.5698 0.00051367
96.5632 0.00064921
90.5538 0.0011069
88.5541 0.0012317
86.5563 0.0013241
80.5732 0.0014856
78.5823 0.0016094
76.5931 0.0018624
74.6056 0.0023116
72.6197 0.0030134
70.6355 0.0039954
68.6529 0.0052384
62.7146 0.0095021
60.7383 0.010584
58.7634 0.011304
54.8179 0.012188
52.8473 0.013248
50.878 0.015778
48.91 0.020811
46.9433 0.029352
44.9778 0.042074
43.0134 0.058976
41.0502 0.079063
37.1271 0.11932
35.167 0.13305
33.2079 0.13893
31.2498 0.13717
29.2924 0.13266
27.3359 0.1369
25.3801 0.16935
23.4251 0.25734
21.4706 0.4341
19.5169 0.73457
17.5636 1.1889
15.6108 1.8152
13.6585 2.6112
11.7066 3.5494
9.75498 4.5745
7.80361 5.6078
3.90159 7.3181
0 7.9868

