angle dsdW
180 0.10859
163.991 0.099579
157.286 0.094646
152.091 0.09315
147.666 0.094498
143.727 0.098147
140.129 0.1036
136.785 0.1104
133.637 0.11815
130.648 0.12647
127.788 0.13504
125.036 0.14357
122.374 0.1518
119.789 0.15952
117.271 0.16655
114.809 0.17274
112.395 0.17798
110.024 0.18218
107.689 0.1853
105.384 0.18731
103.106 0.18824
100.849 0.18812
98.6098 0.18704
96.3845 0.1851
94.1696 0.18247
91.9616 0.17931
89.7572 0.17585
87.5532 0.17235
85.3463 0.16909
83.1332 0.16642
80.9104 0.16472
79.2349 0.16434
78.6745 0.16442
76.4216 0.166
74.148 0.16999
71.8491 0.17699
69.5203 0.18764
67.1564 0.20266
64.7514 0.22285
62.2986 0.24907
59.7902 0.28227
57.2169 0.32349
54.5678 0.37387
51.8293 0.43464
48.9846 0.50716
46.0123 0.5929
42.8839 0.69346
39.5605 0.8106
35.9863 0.9462
32.0753 1.1023
27.683 1.2812
22.5268 1.4854
15.876 1.7173
0 1.98

