E sigma
1e-05 41.041
1.10304e-05 39.132
1.21669e-05 37.317
1.34206e-05 35.592
1.48034e-05 33.953
1.63286e-05 32.395
1.80111e-05 30.914
2.00071e-05 29.41
2.22231e-05 27.988
2.46859e-05 26.642
2.74201e-05 25.37
3.04588e-05 24.168
3.38325e-05 23.032
3.75818e-05 21.959
4.17444e-05 20.947
4.63705e-05 19.992
5.15066e-05 19.092
5.72144e-05 18.244
6.35516e-05 17.445
7.05944e-05 16.694
7.84136e-05 15.989
8.71033e-05 15.326
9.74336e-05 14.665
0.00010899 14.048
0.000121916 13.473
0.000136374 12.939
0.000152548 12.443
0.00017064 11.983
0.000192215 11.533
0.000216528 11.119
0.000243904 10.74
0.00027668 10.374
0.00031386 10.043
0.000358549 9.7275
0.000412469 9.4314
0.000474498 9.169
0.000549678 8.9263
0.000641262 8.7047
0.00075866 8.4967
0.000903882 8.3128
0.00109204 8.1465
0.00134742 7.9947
0.00169787 7.8606
0.00220016 7.7427
0.00295273 7.6411
0.00416197 7.5546
0.00629181 7.4828
0.0106401 7.4246
0.0215871 7.3797
0.0252419 7.3727
0.0253 7.3726
0.0868037 7.3301
0.833993 7.1164
2.10245 6.8165
3.60546 6.5201
5.41259 6.2206
8.01245 5.8515
10.829 5.4613
12.0285 5.2649
12.9012 5.0895
13.5499 4.9275
14.0326 4.7799
14.5331 4.5961
14.9461 4.433
15.1039 4.3836
15.21 4.3651
15.2631 4.3639
15.3546 4.382
15.4085 4.4103
15.4623 4.4578
15.5082 4.519
15.5459 4.5888
15.5837 4.6815
15.6214 4.804
15.6495 4.9199
15.677 5.0594
15.7044 5.231
15.7319 5.443
15.7502 5.6119
15.7686 5.8077
15.7869 6.0354
15.8043 6.287
15.8217 6.5797
15.8348 6.8313
15.8478 7.1151
15.8609 7.4364
15.8739 7.8013
15.887 8.2174
15.9001 8.6941
15.9131 9.2424
15.9218 9.6544
15.9299 10.077
15.9412 10.733
15.9487 11.222
15.9562 11.756
15.9637 12.343
15.9712 12.986
15.9788 13.693
15.9863 14.47
15.9934 15.281
16.0006 16.17
16.0077 17.145
16.0149 18.214
16.022 19.387
16.0281 20.466
16.0354 21.891
16.0427 23.455
16.05 25.17
16.0574 27.046
16.0647 29.097
16.072 31.334
16.0794 33.769
16.0867 36.412
16.094 39.273
16.1014 42.361
16.1087 45.682
16.116 49.24
16.1233 53.039
16.1307 57.077
16.1417 63.571
16.1527 70.562
16.1637 77.997
16.1783 88.47
16.215 115.77
16.2296 126.22
16.2406 133.51
16.2516 140.13
16.263 146.1
16.2751 151.31
16.2861 154.88
16.2944 156.79
16.3051 158.18
16.312 158.45
16.3235 157.79
16.3308 156.66
16.3418 153.99
16.3528 150.23
16.3638 145.51
16.3748 139.96
16.3894 131.55
16.4041 122.33
16.4444 95.82
16.4591 86.639
16.4737 78.038
16.4847 72.044
16.4957 66.475
16.5067 61.346
16.5177 56.655
16.5287 52.393
16.5397 48.54
16.5507 45.072
16.5617 41.959
16.5727 39.172
16.5837 36.68
16.5928 34.806
16.6038 32.776
16.6148 30.96
16.6258 29.332
16.6372 27.823
16.6489 26.429
16.6606 25.178
16.6724 24.052
16.6841 23.035
16.7017 21.685
16.7193 20.511
16.7343 19.624
16.7526 18.663
16.771 17.815
16.7893 17.061
16.8076 16.387
16.8351 15.501
16.8626 14.737
16.8901 14.074
16.9176 13.492
16.945 12.978
16.9817 12.381
17.0183 11.865
17.0596 11.364
17.1008 10.93
17.1283 10.673
17.1833 10.219
17.2382 9.8336
17.299 9.4695
17.3598 9.1577
17.4206 8.8879
17.5123 8.5436
17.6048 8.2555
17.6972 8.013
17.7906 7.8044
17.9157 7.5691
18.037 7.3781
18.2136 7.1495
18.3959 6.9586
18.6455 6.75
18.9486 6.5531
19.3147 6.3701
19.6572 6.2351
20.2056 6.0666
20.8148 5.9235
21.7004 5.7648
22.7915 5.616
24.274 5.4582
26.5889 5.2618
32.3505 4.8307
34.2151 4.6666
35.7027 4.506
36.7695 4.361
37.5294 4.2314
38.0369 4.1257
38.513 4.0057
38.8592 3.9003
39.1324 3.8022
39.4075 3.6852
39.6152 3.5807
39.823 3.4577
39.9847 3.3453
40.1463 3.2136
40.2798 3.0864
40.4133 2.9378
40.5023 2.8242
40.6037 2.6773
40.7051 2.5091
40.7727 2.384
40.851 2.2273
40.9471 2.0306
40.9827 1.9668
41.0094 1.9288
41.0272 1.9113
41.045 1.9027
41.0539 1.9027
41.0673 1.9093
41.0802 1.9247
41.0928 1.9505
41.1055 1.9889
41.1182 2.0425
41.1267 2.0879
41.1351 2.1423
41.1436 2.2067
41.152 2.2821
41.1605 2.3697
41.1689 2.4709
41.1774 2.5868
41.1858 2.7191
41.1943 2.8692
41.2027 3.0387
41.2105 3.2134
41.2176 3.3898
41.2247 3.5807
41.2316 3.7865
41.2386 4.0105
41.2455 4.2536
41.2524 4.5169
41.2594 4.8012
41.2663 5.1074
41.2733 5.4366
41.2806 5.8129
41.2885 6.2422
41.2963 6.7039
41.3041 7.1987
41.3116 7.7026
41.3223 8.4771
41.333 9.3164
41.3436 10.221
41.3543 11.189
41.365 12.219
41.3792 13.685
41.3935 15.247
41.4113 17.314
41.4348 20.182
41.476 25.314
41.4988 27.998
41.5159 29.851
41.533 31.514
41.5458 32.611
41.56 33.658
41.5713 34.346
41.5842 34.977
41.5985 35.463
41.6134 35.735
41.622 35.782
41.6326 35.73
41.6469 35.477
41.6611 35.026
41.6754 34.393
41.6896 33.598
41.7109 32.149
41.7323 30.464
41.7608 27.992
41.8106 23.529
41.832 21.714
41.8462 20.568
41.8675 18.962
41.8836 17.855
41.8989 16.878
41.9138 15.999
41.9288 15.195
41.9437 14.461
41.9587 13.794
41.9775 13.041
41.9953 12.412
42.0131 11.855
42.0309 11.361
42.0487 10.922
42.0665 10.531
42.0932 10.022
42.1207 9.5758
42.1499 9.1731
42.179 8.8277
42.2082 8.5279
42.2471 8.1842
42.2844 7.9019
42.338 7.5585
42.3917 7.271
42.451 7.0021
42.514 6.7601
42.5926 6.505
42.6784 6.2716
42.7828 6.0343
42.9101 5.7946
43.0531 5.5709
43.2069 5.3671
43.3964 5.1498
43.9263 4.6121
44.0701 4.4519
44.209 4.2708
44.2924 4.1405
44.3665 4.0052
44.5147 3.696
44.5591 3.6247
44.5829 3.6026
44.6066 3.5972
44.6288 3.6115
44.651 3.649
44.6733 3.7134
44.6955 3.8081
44.7177 3.9353
44.7399 4.096
44.7622 4.2893
44.7859 4.5283
44.814 4.848
44.897 5.8687
44.9222 6.1492
44.9474 6.3933
44.9711 6.5811
44.9934 6.7157
45.0156 6.8082
45.0378 6.8591
45.0564 6.8713
45.0823 6.8472
45.1045 6.7939
45.1342 6.6865
45.1786 6.4763
45.2512 6.0989
45.3038 5.8511
45.3594 5.6319
45.415 5.4552
45.4706 5.313
45.5447 5.1621
45.6169 5.0443
45.7225 4.9054
45.8633 4.758
46.0485 4.602
46.2338 4.4706
46.5599 4.27
47.5309 3.7304
47.865 3.5331
48.1884 3.3262
48.501 3.1057
48.7431 2.9176
49.0006 2.6978
49.1722 2.5386
49.3438 2.3687
49.5396 2.162
49.9428 1.7123
50.0465 1.6029
50.1242 1.5286
50.1854 1.4778
50.2383 1.4416
50.2911 1.4153
50.3264 1.4047
50.3616 1.4012
50.3969 1.4062
50.4233 1.4166
50.4549 1.4379
50.4777 1.4603
50.5005 1.4894
50.5233 1.5263
50.5461 1.5719
50.5689 1.6277
50.5918 1.695
50.6089 1.7541
50.6249 1.8171
50.6457 1.9106
50.6612 1.9908
50.6768 2.0806
50.6923 2.1812
50.7079 2.2937
50.7234 2.4196
50.739 2.5604
50.7545 2.718
50.7701 2.8945
50.7804 3.0238
50.7949 3.2225
50.8095 3.4439
50.824 3.6911
50.8349 3.8955
50.8457 4.1181
50.8566 4.3605
50.8675 4.6251
50.8784 4.9142
50.8893 5.2303
50.9017 5.6287
50.9121 5.9945
50.9225 6.3945
50.9328 6.8325
50.9432 7.3127
50.9535 7.8397
50.9639 8.4189
50.9743 9.0559
50.9841 9.7207
50.9935 10.41
51.0028 11.162
51.0121 11.984
51.0215 12.883
51.0308 13.866
51.0401 14.941
51.0494 16.117
51.0583 17.329
51.0665 18.567
51.0748 19.908
51.0831 21.358
51.0914 22.928
51.0997 24.625
51.108 26.459
51.1163 28.439
51.1245 30.548
51.1326 32.79
51.1407 35.2
51.1488 37.788
51.1568 40.564
51.1649 43.539
51.173 46.722
51.1811 50.124
51.1914 54.772
51.2007 59.333
51.21 64.227
51.2194 69.468
51.2287 75.066
51.239 81.716
51.2515 90.31
51.2639 99.582
51.2764 109.54
51.2888 120.16
51.3012 131.45
51.3178 147.47
51.3344 164.49
51.3552 186.97
51.3842 219.95
51.4256 267.55
51.4505 294.55
51.4671 311.19
51.482 324.9
51.497 337.17
51.5102 346.69
51.5235 354.78
51.5401 362.69
51.5567 368.01
51.5729 370.62
51.5799 370.94
51.5965 369.78
51.6098 366.93
51.623 362.45
51.6396 354.68
51.6562 344.71
51.6728 332.8
51.6894 319.25
51.7143 296.54
51.7474 263.5
51.7972 212.93
51.8221 188.98
51.8387 173.92
51.8552 159.72
51.8718 146.46
51.8884 134.18
51.9017 125.08
51.915 116.61
51.9282 108.76
51.9415 101.52
51.956 94.268
51.9705 87.667
51.985 81.679
51.9995 76.259
52.0141 71.361
52.0286 66.941
52.0431 62.954
52.0576 59.358
52.0732 55.894
52.0887 52.788
52.1043 49.999
52.1198 47.489
52.1353 45.225
52.1509 43.177
52.1716 40.739
52.1924 38.586
52.2131 36.673
52.2338 34.966
52.2546 33.432
52.2753 32.047
52.3064 30.205
52.3375 28.597
52.3686 27.18
52.4049 25.726
52.436 24.622
52.4671 23.628
52.5137 22.31
52.5604 21.163
52.607 20.156
52.6615 19.128
52.7081 18.35
52.7548 17.652
52.8247 16.73
52.8947 15.933
52.9647 15.237
53.0373 14.602
53.115 14.004
53.1927 13.476
53.2705 13.007
53.3742 12.458
53.483 11.958
53.597 11.502
53.7111 11.103
53.8821 10.591
54.0247 10.227
54.1672 9.9086
54.3572 9.5415
54.5473 9.227
54.7387 8.9529
55.0278 8.6025
55.3169 8.3112
55.6087 8.0631
55.9996 7.7859
56.3932 7.555
56.7896 7.3593
57.3898 7.1156
57.9956 6.9171
58.6071 6.7518
59.434 6.5693
60.2725 6.419
61.554 6.2366
62.8813 6.0891
64.8287 5.9224
66.8852 5.7876
69.6341 5.6493
73.4474 5.5059
78.4494 5.3658
85.1231 5.2261
95.0012 5.0685
124.71 4.68
130.288 4.5885
134.698 4.4926
137.415 4.4061
138.6 4.3531
139.784 4.2811
140.656 4.2058
141.374 4.1173
141.85 4.035
142.215 3.9511
142.537 3.8538
142.834 3.7359
143.171 3.5779
143.254 3.5585
143.263 3.5583
143.318 3.5697
143.354 3.5939
143.39 3.637
143.425 3.7058
143.449 3.7698
143.473 3.8517
143.497 3.9544
143.518 4.0655
143.537 4.1796
143.555 4.3119
143.573 4.4643
143.592 4.6385
143.61 4.8366
143.629 5.0605
143.647 5.312
143.667 5.6227
143.686 5.9462
143.709 6.3966
143.733 6.9024
143.756 7.4653
143.78 8.0858
143.803 8.7631
143.827 9.4985
143.85 10.286
143.874 11.12
143.913 12.587
144.018 16.754
144.053 18.081
144.081 19.054
144.112 20.02
144.14 20.773
144.17 21.436
144.194 21.836
144.21 22.051
144.237 22.273
144.262 22.348
144.288 22.285
144.315 22.082
144.341 21.746
144.371 21.231
144.4 20.586
144.429 19.833
144.459 18.995
144.514 17.281
144.6 14.523
144.641 13.301
144.678 12.283
144.705 11.58
144.733 10.932
144.76 10.341
144.788 9.8054
144.816 9.3247
144.843 8.8956
144.871 8.5148
144.898 8.1782
144.926 7.8818
144.963 7.5417
145.004 7.2235
145.045 6.9615
145.087 6.7448
145.128 6.5641
145.176 6.389
145.238 6.2066
145.3 6.0591
145.362 5.9371
145.445 5.8028
145.578 5.6334
145.67 5.5402
145.854 5.3921
146.056 5.2694
146.35 5.1376
146.626 5.0458
146.993 4.9531
147.544 4.8529
148.059 4.7845
149.051 4.6898
150.509 4.5956
152.511 4.5035
158.755 4.2794
159.993 4.2252
160.656 4.1841
161.043 4.1448
161.541 4.0612
161.602 4.0583
161.702 4.0675
161.799 4.0966
161.944 4.1734
162.12 4.2792
162.235 4.3244
162.348 4.3404
162.473 4.3308
162.828 4.2583
163.147 4.2144
164.007 4.1502
166.325 4.0296
166.924 4.0178
167.676 3.943
169.038 3.8352
169.721 3.7665
170.463 3.6703
170.863 3.6033
171.329 3.5029
171.609 3.425
171.833 3.3484
172.057 3.2534
172.244 3.1543
172.384 3.0633
172.511 2.9652
172.779 2.723
172.833 2.6837
