E sigma
1e-05 23.82
1.10304e-05 22.692
1.21669e-05 21.619
1.34206e-05 20.598
1.48034e-05 19.626
1.63286e-05 18.702
1.80111e-05 17.822
1.98669e-05 16.986
2.19139e-05 16.19
2.41719e-05 15.433
2.66625e-05 14.713
2.94097e-05 14.029
3.244e-05 13.378
3.57825e-05 12.76
3.94694e-05 12.172
4.35362e-05 11.613
4.80221e-05 11.083
5.32208e-05 10.555
5.91186e-05 10.044
6.56668e-05 9.5612
7.29439e-05 9.1044
8.10233e-05 8.6729
9.00022e-05 8.265
9.99711e-05 7.88
0.00011105 7.5165
0.00012335 7.1737
0.00013702 6.8504
0.000152196 6.546
0.000169063 6.2593
0.000187788 5.9897
0.000208599 5.7362
0.000231703 5.4983
0.000259183 5.2608
0.000289922 5.0392
0.000324306 4.8329
0.000362769 4.641
0.000405792 4.4628
0.000453919 4.2977
0.000511335 4.1357
0.000575985 3.9871
0.000648842 3.8508
0.000736033 3.7194
0.000834941 3.6002
0.000953775 3.487
0.00108958 3.3855
0.00125343 3.2905
0.00145203 3.2027
0.00169396 3.1225
0.00200407 3.0471
0.00238769 2.9805
0.00288473 2.9203
0.00355934 2.8653
0.00448509 2.8167
0.00581192 2.774
0.00779992 2.7372
0.0109943 2.706
0.0166204 2.6802
0.0251255 2.6631
0.0253 2.6629
0.0488745 2.6469
0.13215 2.6361
1.03624 2.6304
1365.28 2.4795
2875.45 2.3316
2880.69 2.3337
2931.23 2.3264
4609.99 2.1812
6388.6 2.0454
6946.48 2.0062
6951.65 2.011
6956.84 2.0326
6957.2 2.0328
6959.73 2.0248
6963.51 2.0086
6973.66 2.0044
8854.99 1.882
10672 1.7774
10735.6 1.7756
10778.4 1.7791
10797.6 1.7886
10806.4 1.8001
10812.3 1.8154
10816.9 1.8369
10820 1.8608
10822.1 1.8858
10823.8 1.9154
10824.9 1.943
10826.1 1.9813
10826.8 2.0167
10827.6 2.0647
10828.2 2.113
10828.8 2.1765
10829.1 2.2301
10829.5 2.2935
10829.9 2.3703
10830.3 2.4635
10830.5 2.5463
10830.8 2.6418
10831.1 2.752
10831.4 2.8787
10831.6 3.0243
10831.9 3.1909
10832.1 3.3148
10832.4 3.5232
10832.6 3.6978
10832.8 3.8892
10833 4.0988
10833.2 4.3273
10833.5 4.5763
10833.7 4.8464
10833.8 5.0387
10834.1 5.4542
10834.4 5.9121
10834.7 6.4357
10834.9 7.0078
10835.2 7.629
10835.5 8.2986
10835.8 9.0156
10836.2 10.077
10836.7 11.375
10837.1 12.749
10838.6 17.108
10839.1 18.696
10839.5 19.704
10839.9 20.571
10840.1 21.071
10840.5 21.741
10840.8 22.184
10841.1 22.449
10841.4 22.607
10841.7 22.645
10841.9 22.611
10842.2 22.459
10842.5 22.199
10842.8 21.833
10843.2 21.19
10843.6 20.442
10843.9 19.542
10844.4 18.33
10845 16.601
10846.3 12.342
10846.8 10.992
10847.1 10.137
10847.5 9.0755
10847.8 8.3584
10848.1 7.6881
10848.4 7.0663
10848.7 6.4932
10849 5.969
10849.3 5.5097
10849.5 5.0929
10849.8 4.8069
10850 4.5429
10850.2 4.2998
10850.4 4.0766
10850.6 3.8721
10850.8 3.6853
10851.1 3.4618
10851.3 3.2964
10851.6 3.1208
10851.9 2.967
10852.2 2.8329
10852.4 2.716
10852.7 2.6146
10853 2.5265
10853.3 2.4502
10853.6 2.3641
10854 2.2929
10854.4 2.2333
10854.8 2.1833
10855.4 2.1237
10855.7 2.0919
10856.5 2.042
10857.3 2.005
10858.2 1.9698
10859.2 1.9431
10861.2 1.9051
10862.5 1.8867
10865.5 1.8563
10870.1 1.829
10874.7 1.8127
10883.9 1.7946
10899.2 1.781
10937.1 1.7693
11093.7 1.7556
12823.1 1.6664
15070.4 1.564
17487 1.4664
19315.2 1.4002
19322.9 1.4016
19325.8 1.4082
19327.1 1.4163
19328.5 1.4307
19329.9 1.454
19331.2 1.4859
19332.3 1.5247
19333.6 1.5763
19336.6 1.7138
19337.6 1.75
19338.6 1.7769
19339.6 1.7897
19339.9 1.791
19340.9 1.7848
19341.9 1.7647
19342.8 1.7369
19344.1 1.6824
19346.8 1.5623
19347.9 1.5202
19349 1.4856
19350 1.4603
19351 1.4414
19352.4 1.4244
19354.5 1.4111
19357.1 1.4048
19368.8 1.4008
19774.6 1.3872
19985.5 1.3841
20129.9 1.3882
20188 1.395
20237.5 1.4078
20267.2 1.4222
20285.6 1.436
20304 1.4563
20318.2 1.479
20328.8 1.5025
20339.4 1.5342
20346.5 1.562
20353.6 1.5973
20360.6 1.6431
20366 1.687
20371.3 1.7423
20374.8 1.7876
20378.3 1.8416
20381.9 1.9067
20384.5 1.9647
20387.2 2.0326
20389.7 2.1071
20391.8 2.1814
20393.9 2.2676
20396 2.3683
20398.2 2.4873
20399.6 2.579
20401.3 2.7106
20402.9 2.8487
20404.5 3.0098
20405.6 3.1328
20406.6 3.2705
20407.7 3.4257
20408.8 3.6015
20409.8 3.8021
20410.9 4.0326
20411.6 4.2061
20412.3 4.3984
20413 4.6125
20413.7 4.8521
20414.4 5.1216
20415.1 5.4267
20415.7 5.683
20416.2 5.9665
20416.7 6.2815
20417.3 6.6327
20417.8 7.0258
20418.3 7.4671
20418.9 7.9643
20419.4 8.5261
20419.7 8.9414
20420.2 9.5641
20420.6 10.109
20421 10.707
20421.4 11.362
20421.7 12.081
20422.1 12.868
20422.5 13.731
20422.9 14.676
20423.3 15.709
20423.6 16.837
20424 18.067
20424.3 19.16
20424.7 20.562
20425.1 22.079
20425.4 23.715
20425.8 25.477
20426.2 27.367
20426.6 29.388
20426.9 31.542
20427.4 34.451
20427.8 37.265
20428.4 41.273
20429 45.551
20429.6 50.759
20430.5 58.385
20432 71.045
20432.8 77.556
20433.5 82.708
20434.1 87.284
20434.6 90.243
20435.2 92.727
20435.7 94.758
20436.3 96.257
20436.8 96.982
20437.1 97.05
20437.6 96.705
20438.2 95.676
20438.7 94.016
20439.2 91.756
20439.7 88.987
20440.2 85.839
20440.9 81.056
20441.6 75.753
20442.7 66.71
20444.1 54.316
20444.9 48.037
20445.4 44.057
20446.1 39.268
20446.6 35.407
20447 32.709
20447.5 30.182
20447.9 27.83
20448.2 26.358
20448.6 24.364
20449 22.523
20449.4 20.828
20449.8 19.274
20450.2 17.852
20450.6 16.554
20451 15.372
20451.4 14.298
20451.9 13.331
20452.3 12.454
20452.7 11.658
20453.1 10.937
20453.5 10.283
20453.9 9.6899
20454.3 9.1516
20454.7 8.6629
20455.1 8.2183
20455.5 7.8137
20455.9 7.4082
20456.5 6.9762
20457 6.591
20457.5 6.2465
20458.1 5.9373
20458.6 5.6587
20459.3 5.328
20460 5.0368
20460.7 4.7789
20461.4 4.5492
20462.1 4.3434
20462.8 4.1581
20463.9 3.9128
20465 3.6999
20466 3.5138
20467.1 3.3499
20468.3 3.181
20469.6 3.0333
20470.8 2.9035
20472.1 2.7885
20473.3 2.6863
20475.2 2.5527
20477.1 2.4387
20478.6 2.3565
20480.9 2.25
20483.3 2.1599
20485.6 2.083
20487.9 2.0168
20491.2 1.937
20494.8 1.8671
20498.3 1.8092
20501.8 1.7607
20505.9 1.7141
20510.5 1.6706
20517.4 1.619
20522 1.5914
20529.1 1.5567
20539.7 1.5175
20550.3 1.4888
20564.5 1.461
20578.6 1.441
20598.4 1.4212
20618.3 1.4073
20657.9 1.3893
20720.2 1.3738
20822.1 1.3608
21048.6 1.3465
21895.2 1.3158
24400.4 1.241
27389.6 1.1619
30582.3 1.0865
34029.7 1.0138
34444.4 1.0065
34492.6 1.0089
34506.5 1.0141
34511.1 1.0197
34513.6 1.0282
34514.9 1.0367
34516.1 1.0505
34517.1 1.0665
34518.1 1.0896
34518.7 1.1102
34519.3 1.1363
34520 1.1689
34520.6 1.2093
34521.1 1.2457
34521.5 1.2835
34522.1 1.3389
34522.6 1.4038
34523.1 1.4795
34523.5 1.544
34523.9 1.6158
34524.3 1.6952
34524.8 1.7827
34525.2 1.8787
34525.6 1.9837
34526 2.1191
34526.5 2.2676
34527 2.4296
34527.5 2.6051
34527.9 2.7939
34528.4 2.9958
34529.1 3.284
34529.7 3.592
34530.7 4.0837
34532.9 5.3216
34533.9 5.7986
34534.8 6.2079
34535.5 6.4909
34536 6.6688
34536.5 6.8242
34537 6.9363
34537.6 7.0392
34538.3 7.09
34538.5 7.0953
34539.2 7.0702
34539.7 7.0079
34540.3 6.8975
34540.8 6.7678
34541.5 6.5264
34542.2 6.2475
34543.1 5.8551
34544 5.3871
34546.4 4.0821
34547.4 3.5904
34548 3.2826
34548.7 2.9945
34549.3 2.7283
34549.8 2.5439
34550.2 2.3731
34550.7 2.2156
34551.2 2.0716
34551.7 1.9468
34552.1 1.8449
34552.5 1.7518
34552.9 1.667
34553.3 1.5903
34553.7 1.521
34554.1 1.4588
34554.5 1.4031
34555 1.3382
34555.6 1.2828
34556.2 1.2322
34556.8 1.1873
34557.4 1.1509
34558.1 1.1217
34558.7 1.0985
34559.7 1.0724
34560.6 1.0543
34561.6 1.0418
34562.8 1.0309
34564.7 1.0219
34568.3 1.0149
34575.2 1.01
34595.8 1.0053
34716.2 1.0005
38159.4 0.9363
41873.9 0.87402
41978 0.87305
42030 0.87455
42051.1 0.87883
42060.3 0.8849
42064.7 0.89182
42067.3 0.89994
42069.6 0.91257
42071.2 0.92606
42072.3 0.9402
42073.5 0.95898
42074.7 0.98578
42075.6 1.0114
42076.6 1.0427
42077.5 1.0803
42078.4 1.125
42079.5 1.185
42080.5 1.2554
42081.6 1.3359
42082.7 1.426
42083.7 1.5243
42085.9 1.747
42087.4 1.8892
42088.2 1.9641
42089.3 2.0581
42090.1 2.1175
42090.9 2.1625
42091.8 2.1997
42092.7 2.2201
42093.4 2.2245
42094.1 2.218
42095 2.196
42095.9 2.1539
42096.8 2.1029
42097.6 2.0408
42098.8 1.944
42100.1 1.8185
42102.5 1.5701
42103.9 1.4391
42105 1.3478
42106 1.2659
42107.1 1.1941
42108.1 1.1327
42109.1 1.0832
42110.1 1.0453
42111 1.0138
42111.9 0.98782
42113.1 0.96062
42114.1 0.94346
42115.3 0.92804
42116.9 0.91343
42119.3 0.89991
42121.8 0.89171
42127.1 0.88341
42137 0.87714
42158.1 0.87252
42245.3 0.86844
45640.4 0.81598
46209.9 0.80764
46223.8 0.80943
46236.2 0.81455
46254.7 0.80758
49746.7 0.75813
52460.9 0.72111
52552.9 0.71785
52557.9 0.71883
52561.3 0.72259
52563.8 0.73032
52565.4 0.74003
52566.9 0.75364
52568.1 0.76851
52569.3 0.78805
52570.4 0.81317
52571.3 0.83616
52572.5 0.87147
52573.3 0.90202
52574.1 0.93642
52575.4 0.9951
52576.6 1.0616
52578.3 1.1597
52581 1.3248
52582.5 1.4123
52583.7 1.4728
52584.6 1.5085
52585.6 1.5407
52586.6 1.5624
52587.6 1.5714
52587.9 1.5719
52588.8 1.5658
52589.8 1.5493
52590.8 1.5208
52591.7 1.4869
52592.6 1.4452
52593.6 1.3895
52595.3 1.2921
52598.1 1.1215
52599.4 1.0522
52600.6 0.98948
52601.9 0.93465
52602.7 0.90272
52603.6 0.87446
52604.6 0.84413
52605.5 0.82126
52606.5 0.80221
52607.7 0.78199
52609 0.76675
52610.6 0.75247
52612.3 0.74321
52614.8 0.73527
52619 0.72972
52627.7 0.72629
52659.7 0.72271
52839.1 0.71827
56602.1 0.67081
62606.4 0.60046
62620 0.60144
62625.9 0.60455
62638.7 0.61863
62641.8 0.61979
62646.3 0.61764
62657.4 0.60497
62663 0.60164
62676.1 0.6
65544.9 0.56735
