E sigma std
1e-05 37.589 2.6153
1.10304e-05 36.017 2.6076
1.11082e-05 35.899 2.607
1.21669e-05 34.524 2.6003
1.23386e-05 34.301 2.5992
1.34206e-05 33.106 2.5934
1.37059e-05 32.791 2.5918
1.48034e-05 31.76 2.5868
1.5224e-05 31.365 2.5848
1.63286e-05 30.482 2.5805
1.69111e-05 30.017 2.5782
1.80111e-05 29.271 2.5746
1.87842e-05 28.746 2.572
1.98669e-05 28.122 2.5689
2.08659e-05 27.546 2.5661
2.19139e-05 27.034 2.5636
2.3177e-05 26.416 2.5606
2.41719e-05 26.003 2.5585
2.57455e-05 25.351 2.5553
2.66625e-05 25.028 2.5538
2.85971e-05 24.348 2.5504
2.94097e-05 24.106 2.5492
3.17662e-05 23.405 2.5458
3.244e-05 23.235 2.545
3.52847e-05 22.518 2.5415
3.57825e-05 22.412 2.5409
3.91949e-05 21.686 2.5374
3.94694e-05 21.637 2.5371
4.35362e-05 20.91 2.5336
4.38434e-05 20.855 2.5333
4.80221e-05 20.233 2.5302
4.90432e-05 20.08 2.5295
5.29701e-05 19.593 2.5271
5.48596e-05 19.359 2.526
5.8428e-05 18.991 2.5242
6.13659e-05 18.688 2.5227
6.44482e-05 18.424 2.5214
6.86438e-05 18.065 2.5196
7.10888e-05 17.891 2.5188
7.67849e-05 17.487 2.5168
7.84136e-05 17.392 2.5163
8.64931e-05 16.921 2.514
9.54051e-05 16.498 2.5119
9.74336e-05 16.402 2.5115
0.000105235 16.1 2.51
0.000109753 15.926 2.5091
0.000116078 15.729 2.5082
0.000124501 15.466 2.5069
0.000128039 15.378 2.5064
0.000141232 15.05 2.5048
0.000155784 14.764 2.5034
0.000161341 14.655 2.5029
0.000171835 14.494 2.5021
0.000185604 14.283 2.5011
0.00018954 14.236 2.5009
0.00020907 14.006 2.4997
0.000213516 13.953 2.4995
0.000230612 13.799 2.4987
0.000247345 13.649 2.498
0.000254374 13.601 2.4977
0.000280584 13.425 2.4969
0.000288556 13.371 2.4966
0.000309494 13.267 2.4961
0.000341383 13.11 2.4953
0.000376558 12.986 2.4947
0.000406731 12.879 2.4942
0.000415358 12.858 2.4941
0.000458155 12.753 2.4936
0.000491399 12.671 2.4932
0.000505362 12.648 2.4931
0.000557433 12.562 2.4926
0.000606315 12.481 2.4922
0.000614869 12.472 2.4922
0.000678223 12.404 2.4919
0.000748105 12.33 2.4915
0.000764012 12.313 2.4914
0.000825188 12.273 2.4912
0.000910213 12.217 2.491
0.00099003 12.165 2.4907
0.001004 12.16 2.4907
0.00110745 12.121 2.4905
0.00122155 12.078 2.4903
0.00132867 12.038 2.4901
0.00134742 12.034 2.4901
0.00148625 12.007 2.4899
0.00163939 11.976 2.4898
0.00180831 11.943 2.4896
0.00187281 11.93 2.4895
0.00199463 11.919 2.4895
0.00220016 11.9 2.4894
0.00242685 11.878 2.4893
0.00267691 11.855 2.4892
0.0028312 11.841 2.4891
0.00295273 11.836 2.4891
0.00325697 11.825 2.489
0.00359256 11.813 2.489
0.00396272 11.799 2.4889
0.00437103 11.784 2.4888
0.00478787 11.769 2.4888
0.00482141 11.769 2.4888
0.00531819 11.763 2.4887
0.00586616 11.758 2.4887
0.00647059 11.751 2.4887
0.0071373 11.744 2.4886
0.00787271 11.736 2.4886
0.00868389 11.727 2.4886
0.00957865 11.718 2.4885
0.00971379 11.716 2.4885
0.0105656 11.714 2.4885
0.0116543 11.712 2.4885
0.0128551 11.709 2.4885
0.0141796 11.707 2.4885
0.0156406 11.703 2.4884
0.0172522 11.7 2.4884
0.0190298 11.696 2.4884
0.0209906 11.692 2.4884
0.0231534 11.687 2.4884
0.0252419 11.683 2.4884
0.0253 11.683 2.4884
0.0279068 11.682 2.4884
0.0307823 11.682 2.4884
0.033954 11.681 2.4884
0.0374525 11.68 2.4884
0.0413115 11.679 2.4884
0.0455681 11.678 2.4884
0.0502633 11.677 2.4884
0.0554423 11.676 2.4884
0.0615863 11.675 2.4884
0.0679319 11.674 2.4884
0.0749314 11.672 2.4884
0.0832311 11.67 2.4884
0.091807 11.668 2.4884
0.101266 11.666 2.4884
0.111701 11.664 2.4885
0.124079 11.661 2.4885
0.135905 11.659 2.4885
0.150966 11.656 2.4885
0.167687 11.652 2.4885
0.184965 11.648 2.4885
0.204024 11.644 2.4886
0.225046 11.64 2.4886
0.251736 11.634 2.4886
0.262541 11.631 2.4886
0.273811 11.63 2.4886
0.304154 11.625 2.4887
0.337843 11.619 2.4888
0.372653 11.613 2.4889
0.41105 11.607 2.489
0.453404 11.6 2.4892
0.514332 11.59 2.4893
0.563381 11.582 2.4895
0.612785 11.573 2.4896
0.680659 11.562 2.4898
0.74557 11.551 2.49
0.81095 11.541 2.4902
0.882063 11.529 2.4904
0.952693 11.517 2.4906
1.04355 11.502 2.4908
1.15107 11.484 2.4911
1.23459 11.47 2.4914
1.35226 11.451 2.4917
1.47084 11.431 2.492
1.59982 11.41 2.4924
1.74011 11.386 2.4928
1.80218 11.376 2.493
1.87954 11.359 2.4929
2.08772 11.312 2.4926
2.2708 11.271 2.4924
2.43557 11.234 2.4922
2.70547 11.174 2.4918
2.80184 11.152 2.4917
2.94272 11.11 2.4928
3.17835 11.038 2.4946
3.45707 10.953 2.4967
3.53057 10.931 2.4973
3.73407 10.847 2.4968
4.06151 10.713 2.4959
4.14767 10.666 2.4956
4.46823 10.491 2.4945
4.48 10.482 2.4952
4.76615 10.279 2.5139
4.83872 10.214 2.5133
5.00556 10.063 2.512
5.22042 9.818 2.5097
5.36876 9.608 2.5078
5.41259 9.534 2.5072
5.48291 9.4154 2.5061
5.59921 9.1826 2.504
5.6782 8.9975 2.5023
5.75831 8.7814 2.5004
5.83955 8.5259 2.4981
5.84628 8.5014 2.4978
5.90134 8.3008 2.496
5.96371 8.04 2.4937
6.02667 7.7345 2.5667
6.06903 7.4996 2.5612
6.11169 7.2341 2.555
