r	V(r)
0	-47.6516
0.1	-47.6512
0.2	-47.6507
0.3	-47.6501
0.4	-47.6495
0.5	-47.6487
0.6	-47.6479
0.7	-47.647
0.8	-47.6459
0.9	-47.6446
1	-47.6432
1.1	-47.6415
1.2	-47.6397
1.3	-47.6376
1.4	-47.6351
1.5	-47.6323
1.6	-47.6292
1.7	-47.6255
1.8	-47.6214
1.9	-47.6167
2	-47.6112
2.1	-47.6051
2.2	-47.598
2.3	-47.5899
2.4	-47.5807
2.5	-47.5702
2.6	-47.5582
2.7	-47.5445
2.8	-47.5288
2.9	-47.5109
3	-47.4905
3.1	-47.4672
3.2	-47.4405
3.3	-47.4102
3.4	-47.3755
3.5	-47.336
3.6	-47.2909
3.7	-47.2394
3.8	-47.1808
3.9	-47.114
4	-47.0379
4.1	-46.9512
4.2	-46.8525
4.3	-46.7403
4.4	-46.6128
4.5	-46.4679
4.6	-46.3034
4.7	-46.1169
4.8	-45.9057
4.9	-45.6666
5	-45.3965
5.1	-45.0917
5.2	-44.7485
5.3	-44.3626
5.4	-43.9298
5.5	-43.4454
5.6	-42.9049
5.7	-42.3035
5.8	-41.6366
5.9	-40.8999
6	-40.0895
6.1	-39.2018
6.2	-38.2345
6.3	-37.1861
6.4	-36.0564
6.5	-34.8467
6.6	-33.5602
6.7	-32.2018
6.8	-30.7783
6.9	-29.2984
7	-27.7725
7.1	-26.2127
7.2	-24.6319
7.3	-23.044
7.4	-21.463
7.5	-19.9028
7.6	-18.3764
7.7	-16.8959
7.8	-15.4715
7.9	-14.1122
8	-12.8247
8.1	-11.614
8.2	-10.4831
8.3	-9.43362
8.4	-8.46523
8.5	-7.57654
8.6	-6.76505
8.7	-6.0274
8.8	-5.35964
8.9	-4.7574
9	-4.21609
9.1	-3.73101
9.2	-3.29751
9.3	-2.91104
9.4	-2.56724
9.5	-2.26199
9.6	-1.99143
9.7	-1.75199
9.8	-1.54036
9.9	-1.35354
10	-1.1888
10.1	-1.04366
10.2	-0.915884
10.3	-0.803485
10.4	-0.704671
10.5	-0.61785
10.6	-0.541602
10.7	-0.474669
10.8	-0.415935
10.9	-0.364412
11	-0.319229
11.1	-0.279614
11.2	-0.24489
11.3	-0.214459
11.4	-0.187794
11.5	-0.164433
11.6	-0.14397
11.7	-0.126046
11.8	-0.110349
11.9	-0.0966021
12	-0.0845649
12.1	-0.0740254
12.2	-0.0647976
12.3	-0.0567188
12.4	-0.0496461
12.5	-0.0434546
12.6	-0.0380346
12.7	-0.0332902
12.8	-0.0291373
12.9	-0.0255021
13	-0.0223202
13.1	-0.0195352
13.2	-0.0170976
13.3	-0.014964
13.4	-0.0130966
13.5	-0.0114622
13.6	-0.0100317
13.7	-0.00877972
13.8	-0.00768396
13.9	-0.00672493
14	-0.00588558
14.1	-0.00515098
14.2	-0.00450806
14.3	-0.00394538
14.4	-0.00345293
14.5	-0.00302194
14.6	-0.00264474
14.7	-0.00231462
14.8	-0.00202571
14.9	-0.00177286
15	-0.00155156
15.1	-0.00135789
15.2	-0.0011884
15.3	-0.00104006
15.4	-0.000910231
15.5	-0.000796612
15.6	-0.000697175
15.7	-0.00061015
15.8	-0.000533988
15.9	-0.000467333
16	-0.000408998
16.1	-0.000357944
16.2	-0.000313263
16.3	-0.00027416
16.4	-0.000239938
16.5	-0.000209987
16.6	-0.000183775
16.7	-0.000160835
16.8	-0.000140759
16.9	-0.000123188
17	-0.000107811
17.1	-9.43536e-05
17.2	-8.25757e-05
17.3	-7.22681e-05
17.4	-6.32471e-05
17.5	-5.53522e-05
17.6	-4.84428e-05
17.7	-4.23958e-05
17.8	-3.71037e-05
17.9	-3.24722e-05
18	-2.84188e-05
18.1	-2.48714e-05
18.2	-2.17668e-05
18.3	-1.90497e-05
18.4	-1.66718e-05
18.5	-1.45907e-05
18.6	-1.27694e-05
18.7	-1.11754e-05
18.8	-9.78044e-06
18.9	-8.55958e-06
19	-7.49111e-06
19.1	-6.55602e-06
19.2	-5.73766e-06
19.3	-5.02144e-06
19.4	-4.39463e-06
19.5	-3.84607e-06
19.6	-3.36598e-06
19.7	-2.94581e-06
19.8	-2.5781e-06
19.9	-2.25628e-06
