theta	dsigma
0	529.92
0.0174533	529.766
0.0349066	529.306
0.0523599	528.54
0.0698132	527.471
0.0872665	526.102
0.10472	524.436
0.122173	522.479
0.139626	520.235
0.15708	517.711
0.174533	514.915
0.191986	511.853
0.20944	508.534
0.226893	504.968
0.244346	501.164
0.261799	497.132
0.279253	492.883
0.296706	488.428
0.314159	483.78
0.331613	478.95
0.349066	473.951
0.366519	468.795
0.383972	463.497
0.401426	458.068
0.418879	452.524
0.436332	446.876
0.453786	441.14
0.471239	435.328
0.488692	429.455
0.506145	423.533
0.523599	417.578
0.541052	411.601
0.558505	405.617
0.575959	399.638
0.593412	393.677
0.610865	387.747
0.628319	381.861
0.645772	376.029
0.663225	370.265
0.680678	364.579
0.698132	358.983
0.715585	353.487
0.733038	348.1
0.750492	342.835
0.767945	337.698
0.785398	332.701
0.802851	327.85
0.820305	323.155
0.837758	318.623
0.855211	314.262
0.872665	310.077
0.890118	306.075
0.907571	302.262
0.925025	298.643
0.942478	295.222
0.959931	292.004
0.977384	288.99
0.994838	286.185
1.01229	283.589
1.02974	281.204
1.0472	279.03
1.06465	277.067
1.0821	275.312
1.09956	273.764
1.11701	272.418
1.13446	271.272
1.15192	270.318
1.16937	269.552
1.18682	268.964
1.20428	268.545
1.22173	268.287
1.23918	268.178
1.25664	268.204
1.27409	268.353
1.29154	268.609
1.309	268.957
1.32645	269.378
1.3439	269.856
1.36136	270.369
1.37881	270.899
1.39626	271.423
1.41372	271.92
1.43117	272.366
1.44862	272.739
1.46608	273.015
1.48353	273.17
1.50098	273.181
1.51844	273.023
1.53589	272.673
1.55334	272.108
1.5708	271.307
1.58825	270.248
1.6057	268.912
1.62316	267.281
1.64061	265.339
1.65806	263.07
1.67552	260.464
1.69297	257.51
1.71042	254.202
1.72788	250.537
1.74533	246.514
1.76278	242.135
1.78024	237.408
1.79769	232.342
1.81514	226.952
1.8326	221.257
1.85005	215.277
1.8675	209.041
1.88496	202.579
1.90241	195.926
1.91986	189.121
1.93732	182.207
1.95477	175.232
1.97222	168.246
1.98968	161.304
2.00713	154.465
2.02458	147.79
2.04204	141.343
2.05949	135.19
2.07694	129.4
2.0944	124.045
2.11185	119.195
2.1293	114.923
2.14675	111.303
2.16421	108.407
2.18166	106.308
2.19911	105.076
2.21657	104.78
2.23402	105.488
2.25147	107.262
2.26893	110.164
2.28638	114.249
2.30383	119.568
2.32129	126.169
2.33874	134.092
2.35619	143.371
2.37365	154.035
2.3911	166.104
2.40855	179.591
2.42601	194.502
2.44346	210.835
2.46091	228.578
2.47837	247.712
2.49582	268.21
2.51327	290.034
2.53073	313.139
2.54818	337.469
2.56563	362.963
2.58309	389.549
2.60054	417.147
2.61799	445.669
2.63545	475.02
2.6529	505.099
2.67035	535.794
2.68781	566.993
2.70526	598.573
2.72271	630.409
2.74017	662.371
2.75762	694.326
2.77507	726.138
2.79253	757.667
2.80998	788.776
2.82743	819.324
2.84489	849.172
2.86234	878.183
2.87979	906.221
2.89725	933.154
2.9147	958.853
2.93215	983.195
2.94961	1006.06
2.96706	1027.34
2.98451	1046.93
3.00197	1064.73
3.01942	1080.65
3.03687	1094.61
3.05433	1106.55
3.07178	1116.4
3.08923	1124.12
3.10669	1129.66
3.12414	1132.99
3.14159	1134.1
