E	sigma
0.01	10568.8
0.02	10424.4
0.03	10285.8
0.04	10152.7
0.05	10025.1
0.06	9902.75
0.07	9785.49
0.08	9673.11
0.09	9565.41
0.1	9462.14
0.11	9363.09
0.12	9268.01
0.13	9176.65
0.14	9088.76
0.15	9004.08
0.16	8922.37
0.17	8843.37
0.18	8766.82
0.19	8692.48
0.2	8620.12
0.21	8549.49
0.22	8480.37
0.23	8412.56
0.24	8345.84
0.25	8280.02
0.26	8214.94
0.27	8150.41
0.28	8086.3
0.29	8022.46
0.3	7958.76
0.31	7895.11
0.32	7831.39
0.33	7767.52
0.34	7703.44
0.35	7639.08
0.36	7574.39
0.37	7509.34
0.38	7443.89
0.39	7378.03
0.4	7311.75
0.41	7245.04
0.42	7177.92
0.43	7110.38
0.44	7042.46
0.45	6974.17
0.46	6905.53
0.47	6836.58
0.48	6767.36
0.49	6697.9
0.5	6628.23
0.51	6558.4
0.52	6488.45
0.53	6418.43
0.54	6348.38
0.55	6278.34
0.56	6208.35
0.57	6138.47
0.58	6068.73
0.59	5999.18
0.6	5929.87
0.61	5860.82
0.62	5792.09
0.63	5723.72
0.64	5655.74
0.65	5588.19
0.66	5521.11
0.67	5454.54
0.68	5388.51
0.69	5323.05
0.7	5258.2
0.71	5193.99
0.72	5130.44
0.73	5067.59
0.74	5005.46
0.75	4944.09
0.76	4883.5
0.77	4823.71
0.78	4764.75
0.79	4706.64
0.8	4649.41
0.81	4593.08
0.82	4537.67
0.83	4483.2
0.84	4429.7
0.85	4377.18
0.86	4325.67
0.87	4275.18
0.88	4225.74
0.89	4177.36
0.9	4130.07
0.91	4083.89
0.92	4038.83
0.93	3994.92
0.94	3952.18
0.95	3910.62
0.96	3870.27
0.97	3831.16
0.98	3793.3
0.99	3756.72
1	3721.43
1.01	3687.47
1.02	3654.86
1.03	3623.63
1.04	3593.8
1.05	3565.39
1.06	3538.44
1.07	3512.98
1.08	3489.04
1.09	3466.65
1.1	3445.84
1.11	3426.64
1.12	3409.09
1.13	3393.24
1.14	3379.1
1.15	3366.74
1.16	3356.17
1.17	3347.45
1.18	3340.62
1.19	3335.73
1.2	3332.81
1.21	3331.91
1.22	3333.09
1.23	3336.39
1.24	3341.86
1.25	3349.55
1.26	3359.52
1.27	3371.81
1.28	3386.47
1.29	3403.57
1.3	3423.16
1.31	3445.28
1.32	3470
1.33	3497.36
1.34	3527.42
1.35	3560.22
1.36	3595.82
1.37	3634.27
1.38	3675.61
1.39	3719.89
1.4	3767.14
1.41	3817.4
1.42	3870.7
1.43	3927.09
1.44	3986.56
1.45	4049.16
1.46	4114.88
1.47	4183.74
1.48	4255.73
1.49	4330.84
1.5	4409.06
1.51	4490.36
1.52	4574.7
1.53	4662.05
1.54	4752.34
1.55	4845.5
1.56	4941.47
1.57	5040.15
1.58	5141.45
1.59	5245.25
1.6	5351.43
1.61	5459.86
1.62	5570.39
1.63	5682.87
1.64	5797.13
1.65	5912.99
1.66	6030.27
1.67	6148.78
1.68	6268.31
1.69	6388.65
1.7	6509.59
1.71	6630.91
1.72	6752.39
1.73	6873.8
1.74	6994.92
1.75	7115.52
1.76	7235.38
1.77	7354.28
1.78	7472
1.79	7588.34
1.8	7703.08
1.81	7816.04
1.82	7927.03
1.83	8035.88
1.84	8142.42
1.85	8246.49
1.86	8347.96
1.87	8446.71
1.88	8542.61
1.89	8635.57
1.9	8725.5
1.91	8812.32
1.92	8895.98
1.93	8976.43
1.94	9053.64
1.95	9127.58
1.96	9198.25
1.97	9265.65
1.98	9329.79
1.99	9390.69
2	9448.39
2.01	9502.94
2.02	9554.37
2.03	9602.75
2.04	9648.14
2.05	9690.61
2.06	9730.23
2.07	9767.09
2.08	9801.26
2.09	9832.84
2.1	9861.91
2.11	9888.56
2.12	9912.89
2.13	9934.98
2.14	9954.94
2.15	9972.86
2.16	9988.82
2.17	10002.9
2.18	10015.3
2.19	10026
2.2	10035.1
2.21	10042.7
2.22	10049
2.23	10053.9
2.24	10057.6
2.25	10060.2
2.26	10061.7
2.27	10062.3
2.28	10061.9
2.29	10060.8
2.3	10059
2.31	10056.5
2.32	10053.5
2.33	10050
2.34	10046.2
2.35	10042
2.36	10037.6
2.37	10033.1
2.38	10028.6
2.39	10024.1
2.4	10019.8
2.41	10015.9
2.42	10012.3
2.43	10009.3
2.44	10007
2.45	10005.6
2.46	10005.3
2.47	10006.2
2.48	10008.7
2.49	10013
2.5	10019.4
2.51	10028.3
2.52	10040.3
2.53	10055.8
2.54	10075.4
2.55	10100
2.56	10130.6
2.57	10168.2
2.58	10214.3
2.59	10270.6
2.6	10339.4
2.61	10423.4
2.62	10526.1
2.63	10651.9
2.64	10806.3
2.65	10996.5
2.66	11231.6
2.67	11523.3
2.68	11886
2.69	12337.5
2.7	12898.6
2.71	13591
2.72	14432.5
2.73	15426.4
2.74	16543.7
2.75	17701.5
2.76	18751.5
2.77	19505.9
2.78	19810.4
2.79	19624.2
2.8	19035.8
2.81	18204
2.82	17282.3
2.83	16378.3
2.84	15549.8
2.85	14819.2
2.86	14188.1
2.87	13648.3
2.88	13188.2
2.89	12795.6
2.9	12459.6
2.91	12170.7
2.92	11920.9
2.93	11703.8
2.94	11513.9
2.95	11346.8
2.96	11198.9
2.97	11067.4
2.98	10949.8
2.99	10844.1
3	10748.7
3.01	10662.1
3.02	10583.2
3.03	10511.1
3.04	10444.8
3.05	10383.8
3.06	10327.3
3.07	10275
3.08	10226.3
3.09	10180.8
3.1	10138.3
3.11	10098.4
3.12	10060.8
3.13	10025.5
3.14	9992.03
3.15	9960.39
3.16	9930.37
3.17	9901.84
3.18	9874.67
3.19	9848.76
3.2	9823.99
3.21	9800.29
3.22	9777.58
3.23	9755.78
3.24	9734.82
3.25	9714.65
3.26	9695.2
3.27	9676.44
3.28	9658.32
3.29	9640.79
3.3	9623.81
3.31	9607.36
3.32	9591.39
3.33	9575.89
3.34	9560.81
3.35	9546.14
3.36	9531.85
3.37	9517.92
3.38	9504.33
3.39	9491.06
3.4	9478.09
3.41	9465.41
3.42	9452.99
3.43	9440.83
3.44	9428.92
3.45	9417.23
3.46	9405.76
3.47	9394.5
3.48	9383.43
3.49	9372.54
3.5	9361.83
3.51	9351.29
3.52	9340.9
3.53	9330.67
3.54	9320.57
3.55	9310.61
3.56	9300.78
3.57	9291.07
3.58	9281.48
3.59	9271.99
3.6	9262.61
3.61	9253.33
3.62	9244.14
3.63	9235.04
3.64	9226.03
3.65	9217.09
3.66	9208.23
3.67	9199.43
3.68	9190.71
3.69	9182.05
3.7	9173.45
3.71	9164.9
3.72	9156.41
3.73	9147.97
3.74	9139.57
3.75	9131.22
3.76	9122.91
3.77	9114.64
3.78	9106.4
3.79	9098.2
3.8	9090.03
3.81	9081.88
3.82	9073.76
3.83	9065.67
3.84	9057.6
3.85	9049.55
3.86	9041.52
3.87	9033.5
3.88	9025.5
3.89	9017.51
3.9	9009.53
3.91	9001.56
3.92	8993.6
3.93	8985.65
3.94	8977.7
3.95	8969.75
3.96	8961.81
3.97	8953.86
3.98	8945.92
3.99	8937.98
4	8930.03
4.01	8922.08
4.02	8914.12
4.03	8906.16
4.04	8898.19
4.05	8890.21
4.06	8882.22
4.07	8874.23
4.08	8866.22
4.09	8858.2
4.1	8850.17
4.11	8842.12
4.12	8834.06
4.13	8825.99
4.14	8817.9
4.15	8809.79
4.16	8801.67
4.17	8793.52
4.18	8785.36
4.19	8777.19
4.2	8768.99
4.21	8760.77
4.22	8752.53
4.23	8744.27
4.24	8735.99
4.25	8727.68
4.26	8719.36
4.27	8711.01
4.28	8702.63
4.29	8694.23
4.3	8685.81
4.31	8677.37
4.32	8668.89
4.33	8660.4
4.34	8651.87
4.35	8643.32
4.36	8634.75
4.37	8626.15
4.38	8617.52
4.39	8608.86
4.4	8600.18
4.41	8591.46
4.42	8582.72
4.43	8573.96
4.44	8565.16
4.45	8556.34
4.46	8547.48
4.47	8538.6
4.48	8529.69
4.49	8520.75
4.5	8511.77
4.51	8502.77
4.52	8493.74
4.53	8484.69
4.54	8475.6
4.55	8466.48
4.56	8457.33
4.57	8448.15
4.58	8438.94
4.59	8429.7
4.6	8420.43
4.61	8411.13
4.62	8401.79
4.63	8392.43
4.64	8383.04
4.65	8373.62
4.66	8364.17
4.67	8354.68
4.68	8345.17
4.69	8335.63
4.7	8326.05
4.71	8316.45
4.72	8306.81
4.73	8297.15
4.74	8287.45
4.75	8277.73
4.76	8267.97
4.77	8258.18
4.78	8248.37
4.79	8238.52
4.8	8228.65
4.81	8218.74
4.82	8208.81
4.83	8198.84
4.84	8188.85
4.85	8178.83
4.86	8168.78
4.87	8158.7
4.88	8148.59
4.89	8138.45
4.9	8128.28
4.91	8118.08
4.92	8107.86
4.93	8097.61
4.94	8087.33
4.95	8077.02
4.96	8066.68
4.97	8056.32
4.98	8045.93
4.99	8035.51
5	8025.06
5.01	8014.59
5.02	8004.09
5.03	7993.56
5.04	7983.01
5.05	7972.43
5.06	7961.83
5.07	7951.2
5.08	7940.54
5.09	7929.86
5.1	7919.15
5.11	7908.42
5.12	7897.66
5.13	7886.88
5.14	7876.07
5.15	7865.24
5.16	7854.39
5.17	7843.51
5.18	7832.61
5.19	7821.69
5.2	7810.74
5.21	7799.77
5.22	7788.78
5.23	7777.76
5.24	7766.72
5.25	7755.66
5.26	7744.58
5.27	7733.48
5.28	7722.36
5.29	7711.21
5.3	7700.05
5.31	7688.86
5.32	7677.66
5.33	7666.43
5.34	7655.19
